id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,568.634,86.78,481.434,84.75,35.844,10.124,↑
2,БДДР,Бели Искър,15.08,1.4,10.75,71.29,9.35,68.35,5.299,5.217,↑
3,БДДР,Среченска бара,15.5,1.0,15.44,99.61,14.44,99.59,0.301,0.532,↓
4,БДДР,Христо Смирненски,27.7,4.2,22.572,81.49,18.372,78.18,1.779,0.76,↑
5,БДДР,Йовковци,92.179,9.0,92.179,100.0,83.179,100.0,2.767,4.767,↓
6,БДЧР,Тича,311.8,40.0,261.144,83.75,221.144,81.36,2.097,2.097,~
7,БДЧР,Камчия,233.55,76.0,235.26,100.73,159.26,101.09,28.854,14.985,᷆
8,БДЧР,Ясна поляна,32.32,7.55,25.707,79.54,18.157,73.3,0.127,0.44,↓
9,БДИБР,Асеновец,28.2,2.0,22.6,80.14,20.6,78.63,1.065,0.694,↑
10,БДИБР,Боровица,27.3,4.6,27.22,99.71,22.62,99.65,0.043,0.39,↓
11,БДЗБР,Студена,25.2,2.4,24.159,95.87,21.759,95.43,1.533,1.73,↓
12,БДЗБР,Дяково,35.4,8.0,29.073,82.13,21.073,76.91,2.698,3.123,↓
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.711,69.41,0.611,66.1,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,1.63,72.38,1.43,69.69,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,19.673,62.26,17.173,59.01,1.585,0.37,↑
16,БДДР,Панчарево,6.465,1.5,5.23,80.9,3.73,75.13,12.683,14.017,᷆
17,БДДР,Ястребино,62.3,3.9,48.124,77.25,44.224,75.73,2.72,1.771,↑
18,БДДР,Кула,20.25,0.7,8.566,42.3,7.866,40.24,0.139,0.139,~
19,БДДР,Рабиша,43.2,2.4,12.881,29.82,10.481,25.69,0.023,0.023,~
20,БДДР,Огоста,506.0,67.0,255.22,50.44,188.22,42.87,30.961,8.044,↑
21,БДДР,Сопот,60.908,1.3,49.4,81.11,48.1,80.69,0.532,0.532,~
22,БДДР,Горни Дъбник,130.0,3.0,57.039,43.88,54.039,42.55,0.868,0.868,~
23,БДДР,Бели Лом,25.5,3.2,9.751,38.24,6.551,29.38,0.093,0.093,~
24,БДЧР,Съединение,12.81,1.5,8.719,68.06,7.219,63.83,0.104,0.104,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,205.547,62.29,184.547,59.72,32.372,2.268,↑
26,БДЧР,Порой,45.2,2.0,5.679,12.56,3.679,8.52,0.278,0.012,↑
27,БДЧР,Ахелой,12.35,0.8,3.185,25.79,2.385,20.65,0.15,0.023,↑
28,БДИБР,Жребчево,400.0,30.0,258.39,64.6,228.39,61.73,16.315,4.037,↑
29,БДИБР,Малко Шарково,45.0,3.9,38.248,85.0,34.348,83.57,0.256,0.256,~
30,БДИБР,Домлян,26.074,0.7,23.511,90.17,22.811,89.9,3.16,0.11,↑
31,БДИБР,Пясъчник,206.53,3.4,53.024,25.67,49.624,24.43,1.718,0.283,↑
32,БДИБР,Тополница,137.108,20.0,114.219,83.31,94.219,80.45,9.676,7.928,↑
33,БДИБР,Тракиец,114.0,24.0,74.126,65.02,50.126,55.7,0.231,0.625,↓
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,6.829,7.407,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,158.319,77.02,138.319,74.54,12.506,11.453,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,108.651,76.4,103.241,75.47,19.063,8.693,↑
38,БДИБР,Белмекен,144.036,3.81,135.893,94.35,132.083,94.19,,,↑
39,БДИБР,Чаира,5.5,1.369,3.722,67.67,2.353,56.96,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,54.033,86.99,50.091,86.11,,,↑
41,БДИБР,Широка поляна,23.98,3.3,18.501,77.15,15.201,73.5,,,↑
42,БДИБР,Беглика,1.554,0.242,0.872,56.12,0.63,48.02,0.455,0.48,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.652,92.68,1.376,91.33,0.742,0.631,↑
44,БДИБР,Батак,310.298,19.95,239.239,77.1,219.289,75.53,6.443,10.859,↓
45,БДЗБР,Доспат,449.249,14.907,383.189,85.3,368.282,84.79,10.315,2.948,↑
46,БДИБР,Цанков камък,110.708,31.2,90.731,81.96,59.531,74.87,34.463,29.617,↑
47,БДИБР,Въча,226.12,24.52,211.569,93.56,187.049,92.78,32.889,20.921,↑
48,БДИБР,Кричим,20.256,1.73,19.52,96.37,17.79,96.03,21.633,18.929,↑
49,БДИБР,Кърджали,497.236,107.176,439.6,88.41,332.424,85.22,50.45,7.163,↑
50,БДИБР,Студен кладенец,387.772,90.667,299.106,77.13,208.439,70.16,13.584,19.279,↓
51,БДИБР,Ивайловград,156.702,59.526,116.996,74.66,57.47,59.14,27.067,27.067,~
52,БДИБР,Розов кладенец,20.4,13.268,19.752,96.82,6.484,90.91,,,↑
