id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,510.229,77.87,423.029,74.47,5.374,5.374,~
2,БДДР,Бели Искър,15.08,1.4,10.877,72.13,9.477,69.27,0.675,0.443,↑
3,БДДР,Среченска бара,15.5,1.0,15.21,98.13,14.21,98.0,0.509,0.509,~
4,БДДР,Христо Смирненски,27.7,4.2,24.702,89.18,20.502,87.24,0.643,0.351,↑
5,БДДР,Йовковци,92.179,9.0,83.844,90.96,74.844,89.98,0.133,0.755,↓
6,БДЧР,Тича,311.8,40.0,228.556,73.3,188.556,69.37,3.46,1.562,↑
7,БДЧР,Камчия,233.55,76.0,206.102,88.25,130.102,82.58,3.426,2.234,↑
8,БДЧР,Ясна поляна,32.32,7.55,20.759,64.23,13.209,53.33,0.012,0.336,↓
15,БДДР,"",31.6,2.5,18.384,58.18,15.884,54.58,0.26,0.26,~
16,БДДР,Панчарево,6.465,1.5,5.137,79.46,3.637,73.25,5.929,6.179,᷆
17,БДДР,Ястребино,62.3,3.9,39.17,62.87,35.27,60.39,0.313,0.104,↑
18,БДДР,Кула,20.25,0.7,8.86,43.75,8.16,41.74,0.116,0.116,~
19,БДДР,Рабиша,43.2,2.4,11.771,27.25,9.371,22.97,0.012,0.081,↓
20,БДДР,Огоста,506.0,67.0,207.25,40.96,140.25,31.95,6.829,5.093,↑
21,БДДР,Сопот,60.908,1.3,29.105,47.79,27.805,46.65,1.1,0.289,↑
22,БДДР,Горни Дъбник,130.0,3.0,50.715,39.01,47.715,37.57,0.995,0.336,↑
23,БДДР,Бели Лом,25.5,3.2,8.991,35.26,5.791,25.97,0.185,0.081,↑
24,БДЧР,Съединение,12.81,1.5,8.232,64.26,6.732,59.52,0.174,0.069,↑
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,171.862,52.08,150.862,48.82,0.187,1.692,↓
26,БДЧР,Порой,45.2,2.0,6.89,15.24,4.89,11.32,0.15,0.0,↑
27,БДЧР,Ахелой,12.35,0.8,2.561,20.74,1.761,15.25,0.116,0.0,↑
35,БДДР,Александър Стамболийски,205.569,20.0,135.861,66.09,115.861,62.44,7.141,11.933,↓
36,БДДР,Кокаляне,,,,,,,,,
48,БДИБ,Кричим,20.256,1.73,18.967,93.64,17.237,93.04,58.481,63.782,↓
