id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,513.681,78.39,426.481,75.08,5.296,14.533,↓
2,БДДР,Бели Искър,15.08,1.4,10.487,69.54,9.087,66.42,0.281,0.611,↓
3,БДДР,Среченска бара,15.5,1.0,15.123,97.57,14.123,97.4,1.296,1.748,↓
4,БДДР,Христо Смирненски,27.7,4.2,25.434,91.82,21.234,90.36,0.057,0.788,↓
5,БДДР,Йовковци,92.179,9.0,84.328,91.48,75.328,90.56,0.116,0.74,↓
6,БДЧР,Тича,311.8,40.0,230.196,73.83,190.196,69.98,3.424,1.526,↑
7,БДЧР,Камчия,233.55,76.0,216.322,92.62,140.322,89.07,4.328,2.095,↑
8,БДЧР,Ясна поляна,32.32,7.55,21.541,66.65,13.991,56.48,3.993,0.358,↑
9,БДИБР,Асеновец,28.2,2.0,20.568,72.94,18.568,70.87,1.169,0.799,↑
10,БДИБР,Боровица,27.3,4.6,27.22,99.71,22.62,99.65,0.202,0.26,↓
11,БДЗБР,Студена,25.2,2.4,19.088,75.75,16.688,73.19,1.051,0.738,↑
12,БДЗБР,Дяково,35.4,8.0,28.044,79.22,20.044,73.15,0.234,0.234,~
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.264,25.78,0.164,17.75,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,0.987,43.81,0.787,38.33,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,19.533,61.81,17.033,58.53,0.713,0.505,↑
16,БДДР,Панчарево,6.465,1.5,5.086,78.68,3.586,72.23,15.036,14.536,᷆
17,БДДР,Ястребино,62.3,3.9,39.533,63.46,35.633,61.02,0.521,0.104,↑
18,БДДР,Кула,20.25,0.7,8.998,44.43,8.298,42.45,0.116,0.116,~
19,БДДР,Рабиша,43.2,2.4,11.675,27.03,9.275,22.73,0.012,0.012,~
20,БДДР,Огоста,506.0,67.0,210.08,41.52,143.08,32.59,4.282,6.019,↓
21,БДДР,Сопот,60.908,1.3,31.37,51.5,30.07,50.45,1.088,0.278,↑
22,БДДР,Горни Дъбник,130.0,3.0,52.091,40.07,49.091,38.65,0.972,0.313,↑
23,БДДР,Бели Лом,25.5,3.2,9.162,35.93,5.962,26.74,0.185,0.081,↑
24,БДЧР,Съединение,12.81,1.5,8.267,64.54,6.767,59.83,0.069,0.069,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,173.032,52.43,152.032,49.2,3.08,3.08,~
26,БДЧР,Порой,45.2,2.0,4.311,9.54,2.311,5.35,0.451,0.0,↑
27,БДЧР,Ахелой,12.35,0.8,2.061,16.69,1.261,10.92,0.474,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,226.44,56.61,196.44,53.09,8.854,5.15,↑
29,БДИБР,Малко Шарково,45.0,3.9,37.674,83.72,33.774,82.18,1.931,0.091,↑
30,БДИБР,Домлян,26.074,0.7,10.486,40.22,9.786,38.57,1.11,0.084,↑
31,БДИБР,Пясъчник,206.53,3.4,30.38,14.71,26.98,13.28,1.787,0.19,↑
32,БДИБР,Тополница,137.108,20.0,78.333,57.13,58.333,49.81,9.201,0.579,↑
33,БДИБР,Тракиец,114.0,24.0,76.61,67.2,52.61,58.46,0.694,0.116,↑
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,7.407,7.407,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,147.787,71.89,127.787,68.86,5.427,11.451,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,75.675,53.21,70.265,51.36,8.852,2.24,↑
38,БДИБР,Белмекен,144.036,3.81,86.058,59.75,82.248,58.65,,,↓
39,БДИБР,Чаира,5.5,1.369,2.33,42.36,0.961,23.26,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,46.778,75.31,42.836,73.64,,,↑
41,БДИБР,Широка поляна,23.98,3.3,12.991,54.17,9.691,46.86,,,↑
42,БДИБР,Беглика,1.554,0.242,0.926,59.59,0.684,52.13,0.359,0.475,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.666,93.49,1.39,92.3,0.669,0.75,↓
44,БДИБР,Батак,310.298,19.95,219.75,70.82,199.8,68.81,5.146,2.986,↑
45,БДЗБР,Доспат,449.249,14.907,371.678,82.73,356.771,82.14,8.903,1.793,↑
46,БДИБР,Цанков камък,110.708,31.2,80.705,72.9,49.505,62.26,18.802,19.668,↓
47,БДИБР,Въча,226.12,24.52,194.119,85.85,169.599,84.13,22.715,39.038,↓
48,БДИБР,Кричим,20.256,1.73,19.165,94.61,17.435,94.11,38.943,46.96,↓
49,БДИБР,Кърджали,497.236,107.176,459.777,92.47,352.601,90.4,31.81,99.54,↓
50,БДИБР,Студен кладенец,387.772,90.667,338.918,87.4,248.251,83.56,114.93,154.328,↓
51,БДИБР,Ивайловград,156.702,59.526,123.657,78.91,64.131,65.99,149.128,186.286,↓
52,БДИБР,Розов кладенец,20.4,13.268,18.996,93.12,5.728,80.31,,,↑
