id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,571.417,87.21,484.217,85.24,7.249,23.38,↓
2,БДДР,Бели Искър,15.08,1.4,12.261,81.3,10.861,79.39,0.42,0.955,↓
3,БДДР,Среченска бара,15.5,1.0,15.29,98.65,14.29,98.55,0.59,0.706,↓
4,БДДР,Христо Смирненски,27.7,4.2,25.207,91.0,21.007,89.39,0.035,0.765,↓
5,БДДР,Йовковци,92.179,9.0,91.377,99.13,82.377,99.04,0.074,0.735,↓
6,БДЧР,Тича,311.8,40.0,252.375,80.94,212.375,78.14,2.341,2.341,~
7,БДЧР,Камчия,233.55,76.0,233.17,99.84,157.17,99.76,2.35,2.685,↓
8,БДЧР,Ясна поляна,32.32,7.55,28.231,87.35,20.681,83.49,0.012,0.451,↓
9,БДИБР,Асеновец,28.2,2.0,27.871,98.83,25.871,98.74,0.567,0.845,↓
10,БДИБР,Боровица,27.3,4.6,26.6,97.44,22.0,96.92,0.091,0.38,↓
11,БДЗБР,Студена,25.2,2.4,20.686,82.09,18.286,80.2,0.707,0.707,~
12,БДЗБР,Дяково,35.4,8.0,33.467,94.54,25.467,92.94,0.389,0.169,↑
13,БДЗБР,"",1.024,0.1,0.888,86.7,0.788,85.26,,,↑
14,БДЗБР,"",2.252,0.2,2.087,92.65,1.887,91.93,,,~
15,БДДР,"",31.6,2.5,17.759,56.2,15.259,52.44,0.37,0.37,~
16,БДДР,Панчарево,6.465,1.5,5.331,82.46,3.831,77.16,23.549,24.591,᷆
17,БДДР,Ястребино,62.3,3.9,47.633,76.46,43.733,74.89,2.65,1.701,↑
18,БДДР,Кула,20.25,0.7,10.177,50.26,9.477,48.48,0.012,0.093,↓
19,БДДР,Рабиша,43.2,2.4,15.486,35.85,13.086,32.07,0.012,0.347,↓
20,БДДР,Огоста,506.0,67.0,289.96,57.3,222.96,50.79,0.579,8.218,↓
21,БДДР,Сопот,60.908,1.3,50.31,82.6,49.01,82.22,0.706,0.706,~
22,БДДР,Горни Дъбник,130.0,3.0,56.914,43.78,53.914,42.45,1.007,1.725,↓
23,БДДР,Бели Лом,25.5,3.2,9.789,38.39,6.589,29.55,0.15,0.15,~
24,БДЧР,Съединение,12.81,1.5,8.428,65.79,6.928,61.26,0.382,0.382,~
25,БДЧР,"",330.0,21.0,196.313,59.49,175.313,56.74,0.893,2.397,↓
26,БДЧР,Порой,45.2,2.0,6.33,14.0,4.33,10.02,0.243,0.012,↑
27,БДЧР,Ахелой,12.35,0.8,6.885,55.75,6.085,52.68,0.09,0.868,↓
28,БДИБР,Жребчево,400.0,30.0,327.8,81.95,297.8,80.49,3.427,12.686,↓
29,БДИБР,Малко Шарково,45.0,3.9,40.572,90.16,36.672,89.23,0.079,0.473,↓
30,БДИБР,Домлян,26.074,0.7,22.022,84.46,21.322,84.03,0.022,3.829,↓
31,БДИБР,Пясъчник,206.53,3.4,48.582,23.52,45.182,22.24,0.0,5.37,↓
32,БДИБР,Тополница,137.108,20.0,108.789,79.35,88.789,75.82,2.801,12.199,↓
33,БДИБР,Тракиец,114.0,24.0,72.295,63.42,48.295,53.66,0.069,0.938,↓
34,БДЗБР,Пчелина,54.2,34.2,54.05,99.72,19.85,99.25,6.238,6.238,᷆
35,БДДР,"",205.569,20.0,190.702,92.77,170.702,91.99,3.549,13.283,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,110.575,77.75,105.165,76.87,1.872,12.59,↓
38,БДИБР,Белмекен,144.036,3.81,137.954,95.78,134.144,95.66,,,↓
39,БДИБР,Чаира,5.5,1.369,3.182,57.85,1.813,43.89,,,↓
40,БДИБР,Голям Беглик,62.111,3.942,54.926,88.43,50.984,87.65,,,↓
41,БДИБР,Широка поляна,23.98,3.3,21.359,89.07,18.059,87.33,,,↓
42,БДИБР,Беглика,1.554,0.242,0.955,61.45,0.713,54.34,0.198,0.487,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.246,69.92,0.97,64.41,0.339,0.385,↓
44,БДИБР,Батак,310.298,19.95,277.88,89.55,257.93,88.83,7.207,15.447,↓
45,БДЗБР,Доспат,449.249,14.907,384.144,85.51,369.237,85.01,1.478,10.073,↓
46,БДИБР,Цанков камък,110.708,31.2,80.58,72.79,49.38,62.11,13.597,12.15,↑
47,БДИБР,Въча,226.12,24.52,194.076,85.83,169.556,84.11,13.144,9.614,↑
48,БДИБР,Кричим,20.256,1.73,19.459,96.07,17.729,95.7,8.886,8.087,↑
49,БДИБР,Кърджали,497.236,107.176,349.177,70.22,242.001,62.04,6.403,36.613,↓
50,БДИБР,Студен кладенец,387.772,90.667,238.321,61.46,147.654,49.7,38.024,35.678,↑
51,БДИБР,Ивайловград,156.702,59.526,116.156,74.13,56.63,58.28,33.199,23.538,↑
52,БДИБР,Розов кладенец,20.4,13.268,18.708,91.71,5.44,76.28,,,~
