id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,541.397,82.62,454.197,69.32,10.622,3.282,↑
2,БДДР,Бели Искър,15.08,1.4,10.133,67.2,8.733,57.91,1.945,0.893,↓
3,БДДР,Среченска бара,15.5,1.0,15.38,99.23,14.38,92.77,0.313,0.544,↓
4,БДДР,Христо Смирненски,27.7,4.2,22.019,79.49,17.819,64.33,1.341,1.341,↓
5,БДДР,Йовковци,92.179,9.0,73.787,80.05,64.787,70.28,0.102,0.669,↓
6,БДДР,Ястребино,62.3,3.9,17.757,28.5,13.857,22.24,0.093,0.093,↑
7,БДЧР,Тича,311.8,40.0,155.54,49.88,115.54,37.06,1.443,1.443,↓
8,БДЧР,Камчия,233.55,76.3,153.568,65.75,77.268,33.08,1.458,2.06,↓
9,БДЧР,Ясна поляна,32.32,7.55,27.448,84.93,19.898,61.57,0.208,0.336,↓
10,БДИБР,Асеновец,28.2,2.0,11.44,40.57,9.44,33.48,0.081,0.081,↓
11,БДИБР,Боровица,27.3,4.6,27.15,99.45,22.55,82.6,0.42,0.42,~
12,БДЗБР,Студена,25.2,2.4,17.836,70.78,15.436,61.25,1.52,0.298,↑
13,БДЗБР,Дяково,35.4,8.0,25.626,72.39,17.626,49.79,3.852,3.657,↑
14,БДЗБР,Калин,1.024,0.1,0.506,49.38,0.406,39.61,,,~
16,БДДР,Панчарево,6.465,1.5,5.022,77.67,3.522,54.47,3.859,4.943,↓
17,БДДР,Огняново,31.6,2.5,20.565,65.08,18.065,57.17,0.213,0.108,~
18,БДДР,Кула,20.25,0.7,8.577,42.35,7.877,38.9,0.04,0.04,~
19,БДДР,Рабиша,43.2,2.4,16.44,38.06,14.04,32.5,0.173,0.173,~
20,БДДР,Огоста,506.0,67.0,228.68,45.19,161.68,31.95,3.819,3.588,↑
21,БДДР,Сопот,60.908,1.3,41.0,67.31,39.7,65.18,2.141,0.405,↑
22,БДДР,Горни Дъбник,130.0,3.0,56.227,43.25,53.227,40.94,1.412,0.694,↑
23,БДДР,Бели Лом,25.5,3.2,11.161,43.77,7.961,31.22,0.035,0.301,↓
24,БДЧР,Съединение,12.81,1.5,6.543,51.08,5.043,39.37,0.069,0.069,~
25,БДЧР,Георги Трайков,330.0,21.0,132.621,40.19,111.621,33.82,2.951,1.643,↑
26,БДЧР,Порой,45.2,2.0,10.7,23.67,8.7,19.25,0.124,0.124,~
27,БДЧР,Ахелой,12.67,0.8,2.468,19.48,1.668,13.16,0.064,0.064,~
28,БДИБР,Жребчево,400.0,30.0,163.036,40.76,133.036,33.26,1.717,4.703,↓
29,БДИБР,Малко Шарково,45.0,3.9,26.763,59.47,22.863,50.81,0.01,0.185,↓
30,БДИБР,Домлян,26.074,1.2,17.118,65.65,15.918,61.05,0.482,1.093,↓
31,БДИБР,Пясъчник,206.53,3.4,65.22,31.58,61.82,29.93,0.34,0.34,↓
32,БДИБР,Тополница,137.108,20.0,105.306,76.81,85.306,62.22,4.965,6.076,↓
33,БДИБР,Тракиец,114.0,24.0,75.86,66.54,51.86,45.49,0.417,0.59,↓
34,БДЗБР,Пчелина,54.2,34.2,53.9,99.45,19.7,36.35,3.356,3.356,↓
35,БДДР,Александър Стамболийски,205.569,20.0,156.698,76.23,136.698,66.5,7.179,11.116,↓
36,БДИБР,Копринка,142.214,5.41,94.847,66.69,89.437,62.89,8.31,7.48,↓
37,БДИБР,Белмекен,144.036,3.81,130.908,90.89,127.098,88.24,,,↑
38,БДИБР,Чаира,5.5,1.369,2.175,39.55,0.806,14.65,,,↓
39,БДИБР,Голям Беглик,62.111,3.942,56.934,91.66,52.992,85.32,,,↑
40,БДИБР,Широка поляна,23.98,3.3,21.772,90.79,18.472,77.03,,,↑
41,БДИБР,Беглика,1.554,0.242,0.863,55.53,0.621,39.96,0.352,0.475,↓
42,БДИБР,Тошков Чарк,1.782,0.276,0.803,45.06,0.527,29.57,0.362,0.313,↑
43,БДИБР,Батак,310.298,19.95,239.43,77.16,219.48,70.73,1.383,5.243,↓
44,БДЗБР,Доспат,449.249,14.907,398.253,88.65,383.346,85.33,3.215,0.0,↑
45,БДИБР,Цанков камък,110.708,31.2,84.802,76.6,53.602,48.42,4.171,1.343,↑
46,БДИБР,Въча,226.12,24.52,206.555,91.35,182.035,80.5,9.228,2.685,↓
47,БДИБР,Кричим,20.256,18.526,18.871,93.16,0.345,1.7,2.992,10.979,↓
48,БДИБР,Кърджали,497.236,107.176,391.767,78.79,284.591,57.23,18.449,10.699,↑
49,БДИБР,Студен кладенец,387.772,90.667,302.559,78.02,211.892,54.64,26.789,48.819,↓
50,БДИБР,Ивайловград,156.702,59.526,124.292,79.32,64.766,41.33,51.634,7.679,↑
51,БДИБР,Овчарица,62.452,31.025,42.966,68.8,11.941,19.12,,,↑
