id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,523.832,79.94,436.632,76.86,24.72,24.72,↓
2,БДДР,Бели Искър,15.08,1.4,4.605,30.54,3.205,23.43,0.712,1.475,↓
3,БДДР,Среченска бара,15.5,1.0,15.48,99.87,14.48,99.86,0.787,0.556,↑
4,БДДР,Христо Смирненски,27.7,4.2,25.384,91.64,21.184,90.14,1.136,2.305,↓
5,БДДР,Йовковци,92.179,9.0,92.294,100.12,83.294,100.14,2.095,1.43,᷆
6,БДЧР,Тича,311.8,40.0,220.52,70.72,180.52,66.42,8.659,1.067,↑
7,БДЧР,Камчия,233.55,76.0,235.165,100.69,159.165,101.03,11.631,13.641,᷆
8,БДЧР,Ясна поляна,32.32,7.55,30.786,95.25,23.236,93.81,0.671,0.336,↑
9,БДИБР,Асеновец,28.2,2.0,26.95,95.57,24.95,95.23,2.685,0.718,↑
10,БДИБР,Боровица,27.3,4.6,27.21,99.67,22.61,99.6,8.264,8.38,↓
11,БДЗБР,Студена,25.2,2.4,21.069,83.61,18.669,81.88,8.037,6.558,᷆
12,БДЗБР,Дяково,35.4,8.0,30.338,85.7,22.338,81.53,1.885,1.124,↑
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.227,22.18,0.127,13.76,,,↓
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,0.295,13.1,0.095,4.63,,,д
15,БДДР,Огняново - за рез.водоснабдяване,31.6,2.5,21.125,66.85,18.625,64.0,3.319,5.75,↓
16,БДДР,Панчарево,6.465,1.5,4.923,76.15,3.423,68.95,34.885,36.607,᷆
17,БДДР,Ястребино,62.3,3.9,35.747,57.38,31.847,54.53,1.389,0.127,↑
18,БДДР,Кула,20.25,0.7,9.963,49.2,9.263,47.38,0.035,0.035,~
19,БДДР,Рабиша,43.2,2.4,16.1,37.27,13.7,33.58,1.192,0.035,↑
20,БДДР,Огоста,506.0,67.0,312.64,61.79,245.64,55.95,12.789,14.988,↓
21,БДДР,Сопот,60.908,1.3,49.25,80.86,47.95,80.44,7.454,6.296,↑
22,БДДР,Горни Дъбник,130.0,3.0,58.537,45.03,55.537,43.73,1.863,1.863,~
23,БДДР,Бели Лом,25.5,3.2,9.846,38.61,6.646,29.8,0.324,0.104,↑
24,БДЧР,Съединение,12.81,1.5,8.143,63.57,6.643,58.74,0.428,0.428,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,171.731,52.04,150.731,48.78,21.234,0.169,↑
26,БДЧР,Порой,45.2,2.0,8.2,18.14,6.2,14.35,0.497,1.967,↓
27,БДЧР,Ахелой,12.35,0.8,6.874,55.66,6.074,52.59,0.278,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,328.0,82.0,298.0,80.54,31.773,1.68,↑
29,БДИБР,Малко Шарково,45.0,3.9,37.834,84.08,33.934,82.56,0.833,0.093,↑
30,БДИБР,Домлян,26.074,0.7,25.34,97.18,24.64,97.11,1.38,0.124,↑
31,БДИБР,Пясъчник,206.53,3.4,40.004,19.37,36.604,18.02,7.723,0.223,↑
32,БДИБР,Тополница,137.108,20.0,124.993,91.16,104.993,89.65,15.833,17.35,↓
33,БДИБР,Тракиец,114.0,24.0,75.5,66.23,51.5,57.22,2.13,2.13,~
34,БДЗБР,Пчелина,54.2,34.2,54.5,100.55,20.3,101.5,22.222,21.644,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,200.949,97.75,180.949,97.51,17.597,25.328,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,116.278,81.76,110.868,81.04,20.633,18.11,↑
38,БДИБР,Белмекен,144.036,3.81,58.792,40.82,54.982,39.21,,,↓
39,БДИБР,Чаира,5.5,1.369,3.262,59.31,1.893,45.82,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,48.135,77.5,44.193,75.97,,,↓
41,БДИБР,Широка поляна,23.98,3.3,16.376,68.29,13.076,63.23,,,↑
42,БДИБР,Беглика,1.554,0.242,0.926,59.59,0.684,52.13,0.68,1.108,↓
43,БДИБР,Тошков Чарк,1.782,0.276,0.746,41.86,0.47,31.21,1.074,0.75,↑
44,БДИБР,Батак,310.298,19.95,286.117,92.21,266.167,91.67,23.249,6.77,↑
45,БДЗБР,Доспат,449.249,14.907,408.013,90.82,393.106,90.51,14.794,4.971,↑
46,БДИБР,Цанков камък,110.708,31.2,84.775,76.58,53.575,67.38,27.719,34.105,↓
47,БДИБР,Въча,226.12,24.52,185.428,82.0,160.908,79.82,36.654,32.672,↑
48,БДИБР,Кричим,20.256,1.73,19.892,98.2,18.162,98.04,32.615,24.601,↑
49,БДИБР,Кърджали,497.236,107.176,371.0,74.61,263.824,67.64,37.476,72.19,↓
50,БДИБР,Студен кладенец,387.772,90.667,287.912,74.25,197.245,66.39,92.649,148.621,↓
51,БДИБР,Ивайловград,156.702,59.526,110.421,70.47,50.895,52.37,145.192,147.845,↓
52,БДИБР,Розов кладенец,20.4,13.268,18.78,92.06,5.512,77.29,,,↑
