id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,506.655,77.32,419.455,73.84,1.952,6.543,↓
2,БДДР,Бели Искър,15.08,1.4,11.194,74.23,9.794,71.59,1.075,0.904,↑
3,БДДР,Среченска бара,15.5,1.0,13.392,86.4,12.392,85.46,0.324,0.602,↓
4,БДДР,Христо Смирненски,27.7,4.2,22.66,81.81,18.46,78.56,0.182,0.328,↓
5,БДДР,Йовковци,92.179,9.0,84.274,91.43,75.274,90.5,0.108,0.732,↓
6,БДЧР,Тича,311.8,40.0,230.557,73.94,190.557,70.11,0.089,1.608,↓
7,БДЧР,Камчия,233.55,76.0,200.888,86.01,124.888,79.27,0.012,2.245,↓
8,БДЧР,Ясна поляна,32.32,7.55,21.294,65.88,13.744,55.49,0.048,0.394,↓
9,БДИБР,Асеновец,28.2,2.0,20.512,72.74,18.512,70.66,0.185,0.833,↓
10,БДИБР,Боровица,27.3,4.6,26.85,98.35,22.25,98.02,0.031,0.32,↓
11,БДЗБР,Студена,25.2,2.4,16.57,65.75,14.17,62.15,0.306,0.723,↓
12,БДЗБР,Дяково,35.4,8.0,28.173,79.58,20.173,73.62,0.0,0.426,↓
13,БДЗБР,"",1.024,0.1,0.574,56.07,0.474,51.32,,,↓
14,БДЗБР,"",2.252,0.2,1.138,50.55,0.938,45.73,,,~
15,БДДР,рез.водоснабдяване,31.6,2.5,16.979,53.73,14.479,49.76,0.22,0.37,↓
16,БДДР,Панчарево,6.465,1.5,5.401,83.54,3.901,78.57,7.569,7.569,᷆
17,БДДР,Ястребино,62.3,3.9,38.952,62.52,35.052,60.02,0.127,0.127,~
18,БДДР,Кула,20.25,0.7,8.949,44.19,8.249,42.19,0.023,0.127,↓
19,БДДР,Рабиша,43.2,2.4,12.05,27.89,9.65,23.65,0.012,0.093,↓
20,БДДР,Огоста,506.0,67.0,205.56,40.62,138.56,31.56,0.231,6.713,↓
21,БДДР,Сопот,60.908,1.3,32.175,52.83,30.875,51.8,0.521,2.141,↓
22,БДДР,Горни Дъбник,130.0,3.0,49.626,38.17,46.626,36.71,1.042,0.37,↑
23,БДДР,Бели Лом,25.5,3.2,8.754,34.33,5.554,24.91,0.208,0.093,↑
24,БДЧР,Съединение,12.81,1.5,8.018,62.59,6.518,57.63,0.069,0.069,~
25,БДЧР,"",330.0,21.0,172.512,52.28,151.512,49.03,1.788,1.788,~
26,БДЧР,Порой,45.2,2.0,6.15,13.61,4.15,9.61,0.174,0.0,↑
27,БДЧР,Ахелой,12.35,0.8,2.51,20.32,1.71,14.81,0.127,0.116,↑
28,БДИБР,Жребчево,400.0,30.0,227.24,56.81,197.24,53.31,1.469,8.876,↓
29,БДИБР,Малко Шарково,45.0,3.9,36.207,80.46,32.307,78.61,0.168,0.168,~
30,БДИБР,Домлян,26.074,0.7,5.849,22.43,5.149,20.29,0.056,0.056,~
31,БДИБР,Пясъчник,206.53,3.4,23.052,11.16,19.652,9.67,1.041,0.162,↑
32,БДИБР,Тополница,137.108,20.0,47.835,34.89,27.835,23.77,2.616,0.382,↑
33,БДИБР,Тракиец,114.0,24.0,66.21,58.08,42.21,46.9,0.058,0.197,↓
34,БДЗБР,Пчелина,54.2,34.2,53.95,99.54,19.75,98.75,4.259,4.259,᷆
35,БДДР,"",205.569,20.0,136.027,66.17,116.027,62.52,1.148,1.144,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,55.025,38.69,49.615,36.27,2.971,0.93,↑
38,БДИБР,Белмекен,144.036,3.81,108.126,75.07,104.316,74.39,,,↓
39,БДИБР,Чаира,5.5,1.369,2.868,52.15,1.499,36.29,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,44.994,72.44,41.052,70.57,,,↑
41,БДИБР,Широка поляна,23.98,3.3,11.682,48.72,8.382,40.53,,,↓
42,БДИБР,Беглика,1.554,0.242,1.007,64.8,0.765,58.31,0.085,0.004,↑
43,БДИБР,Тошков Чарк,1.782,0.276,1.347,75.59,1.071,71.12,0.175,0.754,↓
44,БДИБР,Батак,310.298,19.95,212.521,68.49,192.571,66.32,3.528,0.324,↑
45,БДЗБР,Доспат,449.249,14.907,330.269,73.52,315.362,72.61,2.144,4.436,↓
46,БДИБР,Цанков камък,110.708,31.2,90.118,81.4,58.918,74.1,7.513,11.057,↓
47,БДИБР,Въча,226.12,24.52,184.353,81.53,159.833,79.28,12.139,10.148,↑
48,БДИБР,Кричим,20.256,1.73,19.381,95.68,17.651,95.28,9.871,10.878,↓
49,БДИБР,Кърджали,497.236,107.176,321.322,64.62,214.146,54.9,7.946,34.794,↓
50,БДИБР,Студен кладенец,387.772,90.667,230.358,59.41,139.691,47.02,41.348,50.418,↓
51,БДИБР,Ивайловград,156.702,59.526,133.277,85.05,73.751,75.89,56.036,52.881,↑
52,БДИБР,Розов кладенец,20.4,13.268,16.188,79.35,2.92,40.94,,,↑
