id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,513.681,78.39,426.481,75.08,22.133,22.133,~
2,БДДР,Бели Искър,15.08,1.4,7.738,51.31,6.338,46.33,5.801,1.228,↑
3,БДДР,Среченска бара,15.5,1.0,14.883,96.02,13.883,95.74,0.556,0.556,~
4,БДДР,Христо Смирненски,27.7,4.2,23.719,85.63,19.519,83.06,0.146,1.459,↓
5,БДДР,Йовковци,92.179,9.0,90.297,97.96,81.297,97.74,0.771,4.738,↓
6,БДЧР,Тича,311.8,40.0,264.64,84.87,224.64,82.65,2.805,7.064,↓
7,БДЧР,Камчия,233.55,76.0,233.74,100.08,157.74,100.12,2.593,2.873,᷆
8,БДЧР,Ясна поляна,32.32,7.55,26.799,82.92,19.249,77.71,0.012,0.359,↓
9,БДИБР,Асеновец,28.2,2.0,22.784,80.79,20.784,79.33,0.579,0.671,↓
10,БДИБР,Боровица,27.3,4.6,27.195,99.62,22.595,99.54,0.272,0.33,↓
11,БДЗБР,Студена,25.2,2.4,24.21,96.07,21.81,95.66,1.681,1.681,~
12,БДЗБР,Дяково,35.4,8.0,27.256,76.99,19.256,70.28,1.898,1.898,~
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.425,41.5,0.325,35.17,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,0.246,10.92,0.046,2.24,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,19.077,60.37,16.577,56.97,0.72,0.72,~
16,БДДР,Панчарево,6.465,1.5,5.274,81.57,3.774,76.0,22.637,24.031,᷆
17,БДДР,Ястребино,62.3,3.9,45.075,72.35,41.175,70.51,0.995,1.47,↓
18,БДДР,Кула,20.25,0.7,8.64,42.67,7.94,40.61,0.012,0.127,↓
19,БДДР,Рабиша,43.2,2.4,12.425,28.76,10.025,24.57,0.243,0.023,↑
20,БДДР,Огоста,506.0,67.0,238.12,47.06,171.12,38.98,4.803,11.979,↓
21,БДДР,Сопот,60.908,1.3,49.35,81.02,48.05,80.61,0.509,0.509,~
22,БДДР,Горни Дъбник,130.0,3.0,57.788,44.45,54.788,43.14,1.065,1.065,~
23,БДДР,Бели Лом,25.5,3.2,9.514,37.31,6.314,28.31,0.069,0.174,↓
24,БДЧР,Съединение,12.81,1.5,8.66,67.6,7.16,63.31,0.104,0.104,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,197.874,59.96,176.874,57.24,2.159,2.159,~
26,БДЧР,Порой,45.2,2.0,5.587,12.36,3.587,8.3,0.139,0.046,↑
27,БДЧР,Ахелой,12.35,0.8,3.093,25.04,2.293,19.85,0.069,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,267.053,66.76,237.053,64.07,4.745,6.791,↓
29,БДИБР,Малко Шарково,45.0,3.9,38.44,85.42,34.54,84.04,0.236,0.236,~
30,БДИБР,Домлян,26.074,0.7,21.421,82.15,20.721,81.66,1.764,0.109,↑
31,БДИБР,Пясъчник,206.53,3.4,51.04,24.71,47.64,23.45,0.98,0.263,↑
32,БДИБР,Тополница,137.108,20.0,124.993,91.16,104.993,89.65,9.039,13.38,↓
33,БДИБР,Тракиец,114.0,24.0,75.442,66.18,51.442,57.16,0.579,0.613,↓
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,7.407,7.407,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,166.31,80.9,146.31,78.84,6.754,11.086,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,110.882,77.97,105.472,77.1,7.113,4.74,↑
38,БДИБР,Белмекен,144.036,3.81,83.44,57.93,79.63,56.79,,,↑
39,БДИБР,Чаира,5.5,1.369,4.268,77.59,2.899,70.17,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,48.099,77.44,44.157,75.91,,,↓
41,БДИБР,Широка поляна,23.98,3.3,13.381,55.8,10.081,48.75,,,↑
42,БДИБР,Беглика,1.554,0.242,0.866,55.7,0.624,47.53,0.459,0.006,↑
43,БДИБР,Тошков Чарк,1.782,0.276,1.527,85.67,1.251,83.05,0.419,0.725,↓
44,БДИБР,Батак,310.298,19.95,250.684,80.79,230.734,79.47,7.593,7.593,~
45,БДЗБР,Доспат,449.249,14.907,366.456,81.57,351.549,80.94,4.019,4.019,~
46,БДИБР,Цанков камък,110.708,31.2,75.176,67.9,43.976,55.31,14.191,18.866,↓
47,БДИБР,Въча,226.12,24.52,200.702,88.76,176.182,87.39,21.127,22.738,↓
48,БДИБР,Кричим,20.256,1.73,19.875,98.12,18.145,97.94,22.542,19.535,↑
49,БДИБР,Кърджали,497.236,107.176,376.466,75.71,269.29,69.04,12.58,1.462,↑
50,БДИБР,Студен кладенец,387.772,90.667,289.357,74.62,198.69,66.88,8.046,2.464,↑
51,БДИБР,Ивайловград,156.702,59.526,110.995,70.83,51.469,52.96,10.257,12.922,↓
52,БДИБР,Розов кладенец,20.4,13.268,18.348,89.94,5.08,71.23,,,↓
