id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,544.531,83.1,457.331,80.51,2.042,22.584,↓
2,БДДР,Бели Искър,15.08,1.4,12.245,81.2,10.845,79.28,0.376,0.554,↓
3,БДДР,Среченска бара,15.5,1.0,15.37,99.16,14.37,99.1,1.007,0.66,↑
4,БДДР,Христо Смирненски,27.7,4.2,24.084,86.95,19.884,84.61,0.037,0.767,↓
5,БДДР,Йовковци,92.179,9.0,90.24,97.9,81.24,97.67,0.151,0.806,↓
6,БДЧР,Тича,311.8,40.0,248.298,79.63,208.298,76.64,0.109,2.742,↓
7,БДЧР,Камчия,233.55,76.0,227.491,97.41,151.491,96.15,0.012,3.067,↓
8,БДЧР,Ясна поляна,32.32,7.55,26.721,82.68,19.171,77.4,0.012,0.602,↓
9,БДИБР,Асеновец,28.2,2.0,26.74,94.82,24.74,94.43,0.208,0.903,↓
10,БДИБР,Боровица,27.3,4.6,26.01,95.27,21.41,94.32,0.033,0.38,↓
11,БДЗБР,Студена,25.2,2.4,20.108,79.79,17.708,77.67,0.104,0.738,↓
12,БДЗБР,Дяково,35.4,8.0,33.333,94.16,25.333,92.46,0.0,0.661,↓
13,БДЗБР,"",1.024,0.1,0.857,83.69,0.757,81.93,,,~
14,БДЗБР,"",2.252,0.2,2.054,91.21,1.854,90.35,,,↓
15,БДДР,"",31.6,2.5,17.577,55.62,15.077,51.81,0.22,0.37,↓
16,БДДР,Панчарево,6.465,1.5,5.367,83.01,3.867,77.88,23.358,23.28,᷆
17,БДДР,Ястребино,62.3,3.9,45.762,73.45,41.862,71.68,0.37,2.234,↓
18,БДДР,Кула,20.25,0.7,9.937,49.07,9.237,47.25,0.012,0.428,↓
19,БДДР,Рабиша,43.2,2.4,14.312,33.13,11.912,29.2,0.012,0.752,↓
20,БДДР,Огоста,506.0,67.0,278.32,55.0,211.32,48.14,0.66,8.53,↓
21,БДДР,Сопот,60.908,1.3,47.51,78.0,46.21,77.52,1.748,3.021,↓
22,БДДР,Горни Дъбник,130.0,3.0,54.27,41.75,51.27,40.37,1.146,1.817,↓
23,БДДР,Бели Лом,25.5,3.2,9.59,37.61,6.39,28.65,0.046,0.37,↓
24,БДЧР,Съединение,12.81,1.5,8.25,64.4,6.75,59.68,0.185,0.382,↓
25,БДЧР,"",330.0,21.0,192.281,58.27,171.281,55.43,0.014,3.023,↓
26,БДЧР,Порой,45.2,2.0,6.19,13.69,4.19,9.7,0.023,0.012,↑
27,БДЧР,Ахелой,12.35,0.8,5.52,44.7,4.72,40.87,0.035,0.74,↓
28,БДИБР,Жребчево,400.0,30.0,300.004,75.0,270.004,72.97,0.957,16.837,↓
29,БДИБР,Малко Шарково,45.0,3.9,38.919,86.49,35.019,85.2,0.015,1.485,↓
30,БДИБР,Домлян,26.074,0.7,15.457,59.28,14.757,58.16,0.0,1.944,↓
31,БДИБР,Пясъчник,206.53,3.4,35.75,17.31,32.35,15.93,0.0,6.366,↓
32,БДИБР,Тополница,137.108,20.0,87.934,64.13,67.934,58.01,1.331,13.97,↓
33,БДИБР,Тракиец,114.0,24.0,70.346,61.71,46.346,51.5,0.023,1.157,↓
34,БДЗБР,Пчелина,54.2,34.2,53.95,99.54,19.75,98.75,4.259,4.259,᷆
35,БДДР,"",205.569,20.0,172.092,83.71,152.092,81.96,2.902,12.96,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,90.452,63.6,85.042,62.16,0.218,11.98,↓
38,БДИБР,Белмекен,144.036,3.81,132.844,92.23,129.034,92.02,,,↓
39,БДИБР,Чаира,5.5,1.369,2.411,43.84,1.042,25.22,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,53.532,86.19,49.59,85.25,,,↓
41,БДИБР,Широка поляна,23.98,3.3,19.253,80.29,15.953,77.14,,,↓
42,БДИБР,Беглика,1.554,0.242,0.963,61.97,0.721,54.95,0.071,0.013,↑
43,БДИБР,Тошков Чарк,1.782,0.276,1.278,71.72,1.002,66.53,0.221,0.325,↓
44,БДИБР,Батак,310.298,19.95,261.364,84.23,241.414,83.15,4.263,15.623,↓
45,БДЗБР,Доспат,449.249,14.907,375.568,83.6,360.661,83.04,0.402,11.067,↓
46,БДИБР,Цанков камък,110.708,31.2,81.383,73.51,50.183,63.12,11.422,7.927,↑
47,БДИБР,Въча,226.12,24.52,194.382,85.96,169.862,84.26,8.318,7.809,↑
48,БДИБР,Кричим,20.256,1.73,19.581,96.67,17.851,96.36,7.418,6.307,↑
49,БДИБР,Кърджали,497.236,107.176,351.264,70.64,244.088,62.58,3.467,1.954,↑
50,БДИБР,Студен кладенец,387.772,90.667,227.059,58.55,136.392,45.91,1.183,3.413,↓
51,БДИБР,Ивайловград,156.702,59.526,94.074,60.03,34.548,35.55,0.847,21.576,↓
52,БДИБР,Розов кладенец,20.4,13.268,18.888,92.59,5.62,78.8,,,~
