id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,559.491,85.39,472.291,83.14,2.931,4.507,↓
2,БДДР,Бели Искър,15.08,1.4,12.755,84.58,11.355,83.0,0.76,1.114,↓
3,БДДР,Среченска бара,15.5,1.0,15.2,98.06,14.2,97.93,0.938,0.718,↑
4,БДДР,Христо Смирненски,27.7,4.2,21.621,78.06,17.421,74.13,0.05,0.328,↓
5,БДДР,Йовковци,92.179,9.0,79.472,86.22,70.472,84.72,0.133,0.731,↓
6,БДДР,Ястребино,62.3,3.9,16.992,27.27,13.092,22.42,0.116,0.116,~
7,БДЧР,Тича,311.8,40.0,154.285,49.48,114.285,42.05,0.015,1.797,↓
8,БДЧР,Камчия,233.55,76.3,145.568,62.33,69.268,44.05,0.201,2.833,↓
9,БДЧР,Ясна поляна,32.32,7.55,25.462,78.78,17.912,72.31,0.011,0.498,↓
10,БДИБР,Асеновец,28.2,2.0,11.293,40.05,9.293,35.47,0.012,0.475,↓
11,БДИБР,Боровица,27.3,4.6,26.88,98.46,22.28,98.15,0.12,0.42,↓
12,БДЗБР,Студена,25.2,2.4,21.617,85.78,19.217,84.28,0.586,0.677,↓
13,БДЗБР,Дяково,35.4,8.0,28.448,80.36,20.448,74.63,0.52,0.307,↑
14,БДЗБР,Калин,1.024,0.1,0.976,95.31,0.876,94.81,,,↓
15,БДЗБР,Карагьол,2.252,0.2,2.126,94.39,1.926,93.84,,,↓
16,БДДР,Панчарево,6.465,1.5,5.173,80.01,3.673,73.97,5.331,4.497,↑
17,БДДР,Огняново,31.6,2.5,20.705,65.52,18.205,62.56,0.155,0.12,~
18,БДДР,Кула,20.25,0.7,8.401,41.49,7.701,39.39,0.0,0.064,↓
19,БДДР,Рабиша,43.2,2.4,15.047,34.83,12.647,31.0,0.002,0.546,↓
20,БДДР,Огоста,506.0,67.0,232.2,45.89,165.2,37.63,0.231,4.63,↓
21,БДДР,Сопот,60.908,1.3,43.335,71.15,42.035,70.52,0.243,1.481,↓
22,БДДР,Горни Дъбник,130.0,3.0,55.416,42.63,52.416,41.27,0.162,1.609,↓
23,БДДР,Бели Лом,25.5,3.2,10.338,40.54,7.138,32.01,0.035,0.313,↓
24,БДЧР,Съединение,12.81,1.5,6.413,50.06,4.913,43.44,0.035,0.116,↓
25,БДЧР,Георги Трайков,330.0,21.0,130.467,39.54,109.467,35.43,0.017,1.336,↓
26,БДЧР,Порой,45.2,2.0,10.471,23.17,8.471,19.61,0.032,0.136,↓
27,БДЧР,Ахелой,12.67,0.8,2.455,19.38,1.655,13.94,0.02,0.02,↓
28,БДИБР,Жребчево,400.0,30.0,141.013,35.25,111.013,30.0,0.101,15.292,↓
29,БДИБР,Малко Шарково,45.0,3.9,25.901,57.56,22.001,53.53,0.0,0.775,↓
30,БДИБР,Домлян,26.074,1.2,14.005,53.71,12.805,51.48,0.052,3.49,↓
31,БДИБР,Пясъчник,206.53,3.4,54.45,26.36,51.05,25.13,0.0,8.611,↓
32,БДИБР,Тополница,137.108,20.0,94.067,68.61,74.067,63.25,3.611,13.819,↓
33,БДИБР,Тракиец,114.0,24.0,73.644,64.6,49.644,55.16,0.023,1.042,↓
34,БДЗБР,Пчелина,54.2,34.2,53.75,99.17,19.55,97.75,3.426,3.426,~
35,БДДР,Александър Стамболийски,205.569,20.0,143.406,69.76,123.406,66.5,0.966,11.346,↓
36,БДИБР,Копринка,142.214,5.41,80.442,56.56,75.032,54.85,1.728,13.13,↓
37,БДИБР,Белмекен,144.036,3.81,135.234,93.89,131.424,93.72,,,↑
38,БДИБР,Чаира,5.5,1.369,1.841,33.47,0.472,11.43,,,↓
39,БДИБР,Голям Беглик,62.111,3.942,56.815,91.47,52.873,90.9,,,↑
40,БДИБР,Широка поляна,23.98,3.3,22.283,92.92,18.983,91.79,,,↓
41,БДИБР,Беглика,1.554,0.242,0.985,63.38,0.743,56.63,0.184,0.95,↓
42,БДИБР,Тошков Чарк,1.782,0.276,0.925,51.91,0.649,43.09,0.252,0.5,↓
43,БДИБР,Батак,310.298,19.95,238.286,76.79,218.336,75.2,2.023,7.65,↓
44,БДЗБР,Доспат,449.249,14.907,409.18,91.08,394.273,90.77,2.293,0.0,↑
45,БДИБР,Цанков камък,110.708,31.2,82.679,74.68,51.479,64.75,3.779,3.821,↓
46,БДИБР,Въча,226.12,24.52,218.504,96.63,193.984,96.22,9.249,7.073,↑
47,БДИБР,Кричим,20.256,18.526,18.88,93.21,0.354,20.46,7.155,9.369,↓
48,БДИБР,Кърджали,497.236,107.176,387.837,78.0,280.661,71.95,5.306,0.0,↑
49,БДИБР,Студен кладенец,387.772,90.667,294.452,75.93,203.785,68.59,1.059,1.761,↓
50,БДИБР,Ивайловград,156.702,59.526,110.88,70.76,51.354,52.85,8.842,23.461,↓
51,БДИБР,Овчарица,62.452,31.025,41.432,66.34,10.407,33.11,,,~
52,БДИБР,Розов кладенец,20.4,13.268,19.644,96.29,6.376,89.4,,,↑
