id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,501.246,76.5,414.046,72.89,6.802,9.849,↓
2,БДДР,Бели Искър,15.08,1.4,10.693,70.91,9.293,67.93,0.526,0.361,↑
3,БДДР,Среченска бара,15.5,1.0,13.872,89.5,12.872,88.77,1.991,0.509,↑
4,БДДР,Христо Смирненски,27.7,4.2,22.862,82.53,18.662,79.41,1.07,0.341,↑
5,БДДР,Йовковци,92.179,9.0,82.828,89.86,73.828,88.76,0.17,0.786,↓
6,БДЧР,Тича,311.8,40.0,226.965,72.79,186.965,68.79,0.197,1.525,↓
7,БДЧР,Камчия,233.55,76.0,197.089,84.39,121.089,76.86,4.407,2.266,↑
8,БДЧР,Ясна поляна,32.32,7.55,20.614,63.78,13.064,52.74,0.197,0.502,↓
9,БДИБР,Асеновец,28.2,2.0,19.064,67.6,17.064,65.13,0.37,0.833,↓
10,БДИБР,Боровица,27.3,4.6,26.8,98.17,22.2,97.8,1.36,0.26,↑
11,БДЗБР,Студена,25.2,2.4,16.546,65.66,14.146,62.04,1.673,0.749,↑
12,БДЗБР,Дяково,35.4,8.0,27.564,77.86,19.564,71.4,0.529,0.172,↑
13,БДЗБР,"",1.024,0.1,0.312,30.43,0.212,22.9,,,↓
14,БДЗБР,"",2.252,0.2,1.173,52.1,0.973,47.44,,,↑
15,БДДР,рез.водоснабдяване,31.6,2.5,17.187,54.39,14.687,50.47,0.7,0.26,↑
16,БДДР,Панчарево,6.465,1.5,5.094,78.79,3.594,72.38,10.782,9.865,᷆
17,БДДР,Ястребино,62.3,3.9,38.989,62.58,35.089,60.08,0.116,0.116,~
18,БДДР,Кула,20.25,0.7,8.849,43.7,8.149,41.68,0.127,0.127,~
19,БДДР,Рабиша,43.2,2.4,11.847,27.42,9.447,23.15,0.012,0.093,↓
20,БДДР,Огоста,506.0,67.0,199.86,39.5,132.86,30.26,8.681,9.722,↓
21,БДДР,Сопот,60.908,1.3,28.03,46.02,26.73,44.84,3.692,2.118,↑
22,БДДР,Горни Дъбник,130.0,3.0,50.142,38.57,47.142,37.12,0.359,0.359,~
23,БДДР,Бели Лом,25.5,3.2,8.896,34.89,5.696,25.54,0.313,0.093,↑
24,БДЧР,Съединение,12.81,1.5,8.125,63.43,6.625,58.58,0.185,0.069,↑
25,БДЧР,"",330.0,21.0,171.471,51.96,150.471,48.7,5.063,2.054,↑
26,БДЧР,Порой,45.2,2.0,6.72,14.87,4.72,10.93,0.382,0.0,↑
27,БДЧР,Ахелой,12.35,0.8,2.609,21.13,1.809,15.66,0.127,0.37,↓
28,БДИБР,Жребчево,400.0,30.0,213.44,53.36,183.44,49.58,6.422,9.941,↓
29,БДИБР,Малко Шарково,45.0,3.9,36.271,80.6,32.371,78.76,0.091,0.091,~
30,БДИБР,Домлян,26.074,0.7,6.588,25.27,5.888,23.2,0.728,0.057,↑
31,БДИБР,Пясъчник,206.53,3.4,24.686,11.95,21.286,10.48,1.048,0.168,↑
32,БДИБР,Тополница,137.108,20.0,53.978,39.37,33.978,29.01,4.491,0.37,↑
33,БДИБР,Тракиец,114.0,24.0,66.275,58.14,42.275,46.97,0.752,0.116,↑
34,БДЗБР,Пчелина,54.2,34.2,54.25,100.09,20.05,100.25,10.741,11.898,᷆
35,БДДР,"",205.569,20.0,130.633,63.55,110.633,59.62,5.573,12.135,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,55.557,39.07,50.147,36.66,3.678,0.94,↑
38,БДИБР,Белмекен,144.036,3.81,97.619,67.77,93.809,66.9,,,↓
39,БДИБР,Чаира,5.5,1.369,3.131,56.93,1.762,42.65,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,41.053,66.1,37.111,63.8,,,↑
41,БДИБР,Широка поляна,23.98,3.3,9.392,39.17,6.092,29.46,,,↑
42,БДИБР,Беглика,1.554,0.242,1.047,67.37,0.805,61.36,0.373,0.084,↑
43,БДИБР,Тошков Чарк,1.782,0.276,1.254,70.37,0.978,64.94,1.08,0.004,↑
44,БДИБР,Батак,310.298,19.95,206.246,66.47,186.296,64.16,13.318,6.91,↑
45,БДЗБР,Доспат,449.249,14.907,329.873,73.43,314.966,72.52,20.887,7.134,↑
46,БДИБР,Цанков камък,110.708,31.2,91.8,82.92,60.6,76.22,24.303,10.646,↑
47,БДИБР,Въча,226.12,24.52,187.363,82.86,162.843,80.78,12.53,13.028,↓
48,БДИБР,Кричим,20.256,1.73,19.416,95.85,17.686,95.47,12.928,14.537,↓
49,БДИБР,Кърджали,497.236,107.176,301.754,60.69,194.578,49.88,66.726,37.53,↑
50,БДИБР,Студен кладенец,387.772,90.667,272.348,70.23,181.681,61.15,105.423,49.572,↑
51,БДИБР,Ивайловград,156.702,59.526,130.438,83.24,70.912,72.97,71.673,91.952,↓
52,БДИБР,Розов кладенец,20.4,13.268,17.088,83.76,3.82,53.56,,,~
