id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,510.494,77.91,423.294,74.52,2.305,8.446,↓
2,БДДР,Бели Искър,15.08,1.4,11.238,74.53,9.838,71.92,0.692,0.778,↓
3,БДДР,Среченска бара,15.5,1.0,15.085,97.32,14.085,97.14,0.069,0.509,↓
4,БДДР,Христо Смирненски,27.7,4.2,18.753,67.7,14.553,61.93,0.804,0.322,↑
5,БДДР,Йовковци,92.179,9.0,78.137,84.77,69.137,83.12,0.098,0.689,↓
6,БДЧР,Тича,311.8,40.0,219.099,70.27,179.099,65.89,0.155,1.759,↓
7,БДЧР,Камчия,233.55,76.0,178.045,76.23,102.045,64.77,0.008,2.219,↓
8,БДЧР,Ясна поляна,32.32,7.55,18.335,56.73,10.785,43.54,0.116,0.255,↓
9,БДИБР,Асеновец,28.2,2.0,12.933,45.86,10.933,41.73,0.278,0.66,↓
10,БДИБР,Боровица,27.3,4.6,23.955,87.75,19.355,85.26,0.214,0.26,↓
11,БДЗБР,Студена,25.2,2.4,22.045,87.48,19.645,86.16,0.577,0.748,↓
12,БДЗБР,Дяково,35.4,8.0,28.448,80.36,20.448,74.63,0.093,0.518,↓
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.242,23.67,0.142,15.41,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,1.718,76.31,1.518,74.0,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,17.022,53.87,14.522,49.9,0.335,0.335,~
16,БДДР,Панчарево,6.465,1.5,5.144,79.57,3.644,73.39,8.753,8.753,᷆
17,БДДР,Ястребино,62.3,3.9,33.889,54.4,29.989,51.35,0.046,0.116,↓
18,БДДР,Кула,20.25,0.7,7.424,36.66,6.724,34.39,0.116,0.116,~
19,БДДР,Рабиша,43.2,2.4,12.5,28.94,10.1,24.75,0.0,0.0,~
20,БДДР,Огоста,506.0,67.0,229.32,45.32,162.32,36.97,3.183,4.456,↓
21,БДДР,Сопот,60.908,1.3,27.411,45.0,26.111,43.8,0.255,0.255,~
22,БДДР,Горни Дъбник,130.0,3.0,50.486,38.84,47.486,37.39,1.551,0.22,↑
23,БДДР,Бели Лом,25.5,3.2,8.906,34.93,5.706,25.59,0.174,0.058,↑
24,БДЧР,Съединение,12.81,1.5,8.178,63.84,6.678,59.05,0.069,0.069,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,171.471,51.96,150.471,48.7,0.593,2.098,↓
26,БДЧР,Порой,45.2,2.0,5.509,12.19,3.509,8.12,0.046,0.0,↑
27,БДЧР,Ахелой,12.35,0.8,3.133,25.37,2.333,20.2,0.023,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,153.232,38.31,123.232,33.31,1.526,1.526,~
29,БДИБР,Малко Шарково,45.0,3.9,33.292,73.98,29.392,71.51,0.126,0.126,~
30,БДИБР,Домлян,26.074,0.7,9.931,38.09,9.231,36.38,0.613,0.084,↑
31,БДИБР,Пясъчник,206.53,3.4,36.55,17.7,33.15,16.32,0.79,0.212,↑
32,БДИБР,Тополница,137.108,20.0,44.66,32.57,24.66,21.06,2.002,0.556,↑
33,БДИБР,Тракиец,114.0,24.0,63.777,55.94,39.777,44.2,0.012,0.116,↓
34,БДЗБР,Пчелина,54.2,34.2,54.0,99.63,19.8,99.0,5.185,5.185,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,108.705,52.88,88.705,47.8,2.649,0.957,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,30.072,21.15,24.662,18.03,3.559,0.755,↑
38,БДИБР,Белмекен,144.036,3.81,97.789,67.89,93.979,67.02,,,↑
39,БДИБР,Чаира,5.5,1.369,0.935,17.0,0.0,0.0,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,35.817,57.67,31.875,54.8,,,↓
41,БДИБР,Широка поляна,23.98,3.3,5.188,21.64,1.888,9.13,,,↑
42,БДИБР,Беглика,1.554,0.242,1.015,65.3,0.773,58.89,0.173,0.002,↑
43,БДИБР,Тошков Чарк,1.782,0.276,0.697,39.11,0.421,27.95,0.371,0.282,↑
44,БДИБР,Батак,310.298,19.95,176.808,56.98,156.858,54.02,4.616,0.603,↑
45,БДЗБР,Доспат,449.249,14.907,315.812,70.3,300.905,69.28,6.06,3.768,↑
46,БДИБР,Цанков камък,110.708,31.2,94.524,85.38,63.324,79.64,7.081,1.378,↑
47,БДИБР,Въча,226.12,24.52,163.088,72.12,138.568,68.73,5.976,12.145,↓
48,БДИБР,Кричим,20.256,1.73,19.598,96.75,17.868,96.45,12.356,9.35,↑
49,БДИБР,Кърджали,497.236,107.176,241.704,48.61,134.528,34.49,12.114,0.848,↑
50,БДИБР,Студен кладенец,387.772,90.667,335.791,86.59,245.124,82.5,11.319,2.295,↑
51,БДИБР,Ивайловград,156.702,59.526,140.104,89.41,80.578,82.92,7.999,7.999,~
52,БДИБР,Розов кладенец,20.4,13.268,17.88,87.65,4.612,64.67,,,↓
