id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,521.42,79.58,434.22,76.44,43.886,9.348,↑
2,БДДР,Бели Искър,15.08,1.4,11.697,77.57,10.297,75.27,3.171,3.246,↓
3,БДДР,Среченска бара,15.5,1.0,15.37,99.16,14.37,99.1,0.301,0.532,↓
4,БДДР,"",27.7,4.2,26.13,94.33,21.93,93.32,4.347,1.414,↑
5,БДДР,Йовковци,92.179,9.0,71.991,78.1,62.991,75.73,1.767,0.654,↑
6,БДЧР,Тича,311.8,40.0,135.399,43.42,95.399,35.1,17.992,1.059,↑
7,БДЧР,Камчия,233.55,76.3,136.646,58.51,60.346,38.38,89.537,1.944,↑
8,БДЧР,Ясна поляна,32.32,7.55,18.737,57.97,11.187,45.16,9.12,0.312,↑
9,БДИБР,Асеновец,28.2,2.0,13.307,47.19,11.307,43.16,6.493,0.324,↑
10,БДИБР,Боровица,27.3,4.6,27.425,100.46,22.825,100.55,12.116,0.38,↑
11,БДЗБР,Студена,25.2,2.4,24.026,95.34,21.626,94.85,9.835,0.594,↑
12,БДЗБР,Дяково,35.4,8.0,30.486,86.12,22.486,82.07,1.683,0.16,↑
13,БДЗБР,рез.водоснабдя,1.024,0.1,0.282,27.54,0.182,19.7,,,↑
14,БДЗБР,рез.водоснабдя,2.252,0.2,1.423,63.18,1.223,59.59,,,↑
15,БДДР,рез.водоснабдя,31.6,2.5,19.202,60.77,16.702,57.4,0.376,0.019,↑
16,БДДР,рез.водоснабдя,6.465,1.5,5.274,81.57,3.774,76.0,23.224,23.724,↓
17,БДДР,Ястребино,62.3,3.9,13.284,21.32,9.384,16.07,2.083,0.046,↑
18,БДДР,Кула,20.25,0.7,7.904,39.03,7.204,36.85,0.15,0.035,↑
19,БДДР,Рабиша,43.2,2.4,12.33,28.54,9.93,24.34,0.012,0.012,~
20,БДДР,Огоста,506.0,67.0,220.38,43.55,153.38,34.94,91.956,2.373,↑
21,БДДР,Сопот,60.908,1.3,27.16,44.59,25.86,43.38,4.329,0.162,↑
22,БДДР,Горни Дъбник,130.0,3.0,52.894,40.69,49.894,39.29,2.292,0.301,↑
23,БДДР,Бели Лом,25.5,3.2,8.25,32.35,5.05,22.65,0.44,0.046,↑
24,БДЧР,Съединение,12.81,1.5,5.838,45.57,4.338,38.36,0.394,0.035,↑
25,БДЧР,Георги Трайков,330.0,21.0,110.628,33.52,89.628,29.01,25.899,0.968,↑
26,БДЧР,Порой,45.2,2.0,9.052,20.03,7.052,16.32,0.305,0.166,↑
27,БДЧР,Ахелой,12.67,0.8,3.155,24.9,2.355,19.84,0.944,0.007,↑
28,БДИБР,Жребчево,400.0,30.0,141.075,35.27,111.075,30.02,31.811,1.58,↑
29,БДИБР,Малко Шарково,45.0,3.9,18.837,41.86,14.937,36.34,4.2,0.055,↑
30,БДИБР,Домлян,26.074,0.7,10.041,38.51,9.341,36.81,6.208,0.065,↑
31,БДИБР,Пясъчник,206.53,3.4,22.786,11.03,19.386,9.54,5.878,0.161,↑
32,БДИБР,Тополница,137.108,20.0,45.939,33.51,25.939,22.15,12.824,0.347,↑
33,БДИБР,Тракиец,114.0,24.0,67.65,59.34,43.65,48.5,19.213,0.116,↑
34,БДЗБР,Пчелина,54.2,34.2,55.9,103.14,21.7,108.5,25.718,17.037,↑
35,БДДР,"",205.569,20.0,145.543,70.8,125.543,67.65,43.932,4.337,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,63.011,44.31,57.601,42.1,33.298,2.13,↑
38,БДИБР,Белмекен,144.036,3.81,96.836,67.23,93.026,66.34,,,↓
39,БДИБР,Чаира,5.5,1.369,3.082,56.04,1.713,41.47,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,54.615,87.93,50.673,87.11,,,↑
41,БДИБР,Широка поляна,23.98,3.3,19.328,80.6,16.028,77.5,,,↑
42,БДИБР,Беглика,1.554,0.242,1.272,81.85,1.03,78.51,3.631,1.108,↑
43,БДИБР,Тошков Чарк,1.782,0.276,1.795,100.73,1.519,100.86,4.22,1.5,↑
44,БДИБР,Батак,310.298,19.95,211.967,68.31,192.017,66.13,20.338,7.269,↑
45,БДЗБР,Доспат,449.249,14.907,390.827,87.0,375.92,86.55,82.862,4.255,↑
46,БДИБР,Цанков камък,110.708,31.2,107.052,96.7,75.852,95.4,130.257,45.779,↑
47,БДИБР,Въча,226.12,24.52,208.232,92.09,183.712,91.13,55.737,46.99,↑
48,БДИБР,Кричим,20.256,1.73,19.338,95.47,17.608,95.04,46.362,45.341,↑
49,БДИБР,Кърджали,497.236,107.176,436.756,87.84,329.58,84.49,319.513,45.94,↑
50,БДИБР,"",387.772,90.667,335.791,86.59,245.124,82.5,269.753,111.454,↑
51,БДИБР,Ивайловград,156.702,59.526,118.447,75.59,58.921,60.63,224.591,182.686,↑
52,БДИБР,Розов кладенец,20.4,13.268,17.592,86.24,4.324,60.63,,,↑
