id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,552.881,84.38,465.681,81.98,26.781,10.892,↑
2,БДДР,Бели Искър,15.08,1.4,10.285,68.2,8.885,64.95,4.684,8.918,↓
3,БДДР,Среченска бара,15.5,1.0,15.5,100.0,14.5,100.0,0.602,0.602,~
4,БДДР,Христо Смирненски,27.7,4.2,21.825,78.79,17.625,75.0,0.028,0.305,↓
5,БДДР,Йовковци,92.179,9.0,89.113,96.67,80.113,96.31,0.077,0.726,↓
6,БДЧР,Тича,311.8,40.0,257.648,82.63,217.648,80.08,0.532,2.662,↓
7,БДЧР,Камчия,233.55,76.0,231.745,99.23,155.745,98.85,1.227,2.743,↓
8,БДЧР,Ясна поляна,32.32,7.55,25.991,80.42,18.441,74.45,0.012,0.463,↓
9,БДИБР,Асеновец,28.2,2.0,22.464,79.66,20.464,78.11,0.37,0.926,↓
10,БДИБР,Боровица,27.3,4.6,26.865,98.41,22.265,98.08,0.041,0.33,↓
11,БДЗБР,Студена,25.2,2.4,24.21,96.07,21.81,95.66,1.48,1.48,~
12,БДЗБР,Дяково,35.4,8.0,28.025,79.17,20.025,73.09,1.556,1.556,~
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.478,46.64,0.378,40.87,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,1.165,51.73,0.965,47.03,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,18.85,59.65,16.35,56.19,0.138,0.335,↓
16,БДДР,Панчарево,6.465,1.5,5.394,83.43,3.894,78.43,11.018,8.041,᷆
17,БДДР,Ястребино,62.3,3.9,44.672,71.7,40.772,69.82,0.498,0.961,↓
18,БДДР,Кула,20.25,0.7,8.545,42.2,7.845,40.13,0.139,0.139,~
19,БДДР,Рабиша,43.2,2.4,12.71,29.42,10.31,25.27,0.914,0.035,↑
20,БДДР,Огоста,506.0,67.0,229.895,45.43,162.895,37.11,7.639,7.639,~
21,БДДР,Сопот,60.908,1.3,49.68,81.57,48.38,81.16,1.551,0.509,↑
22,БДДР,Горни Дъбник,130.0,3.0,57.226,44.02,54.226,42.7,0.868,0.868,~
23,БДДР,Бели Лом,25.5,3.2,9.58,37.57,6.38,28.61,0.289,0.289,~
24,БДЧР,Съединение,12.81,1.5,8.66,67.6,7.16,63.31,0.104,0.104,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,197.874,59.96,176.874,57.24,0.547,2.051,↓
26,БДЧР,Порой,45.2,2.0,5.574,12.33,3.574,8.27,0.15,0.058,↑
27,БДЧР,Ахелой,12.35,0.8,3.113,25.21,2.313,20.03,0.046,0.035,↑
28,БДИБР,Жребчево,400.0,30.0,260.158,65.04,230.158,62.2,2.038,10.223,↓
29,БДИБР,Малко Шарково,45.0,3.9,38.472,85.49,34.572,84.12,0.236,0.236,~
30,БДИБР,Домлян,26.074,0.7,22.451,86.1,21.751,85.72,0.112,0.112,~
31,БДИБР,Пясъчник,206.53,3.4,51.97,25.16,48.57,23.91,0.997,0.28,↑
32,БДИБР,Тополница,137.108,20.0,116.287,84.81,96.287,82.22,3.403,8.067,↓
33,БДИБР,Тракиец,114.0,24.0,74.69,65.52,50.69,56.32,0.058,0.556,↓
34,БДЗБР,Пчелина,54.2,34.2,54.05,99.72,19.85,99.25,6.238,6.238,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,159.314,77.5,139.314,75.07,3.271,1.173,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,106.375,74.8,100.965,73.8,3.007,10.97,↓
38,БДИБР,Белмекен,144.036,3.81,123.41,85.68,119.6,85.29,,,↑
39,БДИБР,Чаира,5.5,1.369,4.617,83.94,3.248,78.62,,,↓
40,БДИБР,Голям Беглик,62.111,3.942,50.03,80.55,46.088,79.23,,,↑
41,БДИБР,Широка поляна,23.98,3.3,15.767,65.75,12.467,60.29,,,↑
42,БДИБР,Беглика,1.554,0.242,0.886,57.03,0.644,49.11,0.323,0.007,↑
43,БДИБР,Тошков Чарк,1.782,0.276,1.508,84.6,1.232,81.77,0.485,0.007,↑
44,БДИБР,Батак,310.298,19.95,246.774,79.53,226.824,78.12,3.038,10.765,↓
45,БДЗБР,Доспат,449.249,14.907,375.978,83.69,361.071,83.13,19.63,0.67,↑
46,БДИБР,Цанков камък,110.708,31.2,86.228,77.89,55.028,69.21,33.107,36.193,↓
47,БДИБР,Въча,226.12,24.52,200.099,88.49,175.579,87.09,38.611,10.735,↑
48,БДИБР,Кричим,20.256,1.73,19.702,97.26,17.972,97.01,10.243,8.138,↑
49,БДИБР,Кърджали,497.236,107.176,394.729,79.38,287.553,73.72,32.327,24.15,↑
50,БДИБР,Студен кладенец,387.772,90.667,293.477,75.68,202.81,68.26,31.417,3.312,↑
51,БДИБР,Ивайловград,156.702,59.526,116.635,74.43,57.109,58.77,6.648,12.215,↓
52,БДИБР,Розов кладенец,20.4,13.268,18.312,89.76,5.044,70.72,,,↑
