id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,570.026,86.99,482.826,85.0,35.189,9.438,↑
2,БДДР,Бели Искър,15.08,1.4,9.947,65.96,8.547,62.48,7.308,2.9,↑
3,БДДР,Среченска бара,15.5,1.0,15.43,99.55,14.43,99.52,0.486,0.602,↓
4,БДДР,Христо Смирненски,27.7,4.2,23.441,84.63,19.241,81.88,0.174,0.757,↓
5,БДДР,Йовковци,92.179,9.0,91.32,99.07,82.32,98.97,0.057,0.718,↓
6,БДЧР,Тича,311.8,40.0,230.852,74.04,190.852,70.22,2.619,2.619,~
7,БДЧР,Камчия,233.55,76.0,233.55,100.0,157.55,100.0,3.073,1.048,↑
8,БДЧР,Ясна поляна,32.32,7.55,30.614,94.72,23.064,93.11,0.012,0.382,↓
9,БДИБР,Асеновец,28.2,2.0,27.882,98.87,25.882,98.79,0.405,0.845,↓
10,БДИБР,Боровица,27.3,4.6,26.82,98.24,22.22,97.89,0.149,0.38,↓
11,БДЗБР,Студена,25.2,2.4,20.913,82.99,18.513,81.2,4.264,4.593,᷆
12,БДЗБР,Дяково,35.4,8.0,30.996,87.56,22.996,83.93,2.983,2.222,↑
13,БДЗБР,"",1.024,0.1,0.393,38.36,0.293,31.69,,,~
14,БДЗБР,"",2.252,0.2,1.226,54.42,1.026,49.98,,,↑
15,БДДР,"",31.6,2.5,20.285,64.19,17.785,61.12,0.633,1.64,↓
16,БДДР,Панчарево,6.465,1.5,5.317,82.24,3.817,76.87,8.133,6.55,᷆
17,БДДР,Ястребино,62.3,3.9,37.75,60.59,33.85,57.96,0.127,0.556,↓
18,БДДР,Кула,20.25,0.7,10.309,50.91,9.609,49.15,0.046,0.046,~
19,БДДР,Рабиша,43.2,2.4,17.648,40.85,15.248,37.37,0.046,0.046,~
20,БДДР,Огоста,506.0,67.0,310.7,61.4,243.7,55.51,4.861,4.861,~
21,БДДР,Сопот,60.908,1.3,49.635,81.49,48.335,81.09,1.493,0.451,↑
22,БДДР,Горни Дъбник,130.0,3.0,57.351,44.12,54.351,42.8,1.088,1.806,↓
23,БДДР,Бели Лом,25.5,3.2,9.865,38.69,6.665,29.89,0.058,0.174,↓
24,БДЧР,Съединение,12.81,1.5,7.697,60.09,6.197,54.79,0.301,0.093,↑
25,БДЧР,"",330.0,21.0,185.388,56.18,164.388,53.2,1.72,1.72,~
26,БДЧР,Порой,45.2,2.0,6.36,14.07,4.36,10.09,0.22,0.255,↓
27,БДЧР,Ахелой,12.35,0.8,7.329,59.34,6.529,56.53,0.185,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,335.088,83.77,305.088,82.46,4.08,6.533,↓
29,БДИБР,Малко Шарково,45.0,3.9,39.667,88.15,35.767,87.02,0.498,0.093,↑
30,БДИБР,Домлян,26.074,0.7,25.665,98.43,24.965,98.39,1.239,0.342,↑
31,БДИБР,Пясъчник,206.53,3.4,46.9,22.71,43.5,21.41,0.257,0.257,~
32,БДИБР,Тополница,137.108,20.0,124.082,90.5,104.082,88.88,9.456,8.218,↑
33,БДИБР,Тракиец,114.0,24.0,74.87,65.68,50.87,56.52,0.139,0.718,↓
34,БДЗБР,Пчелина,54.2,34.2,54.3,100.18,20.1,100.5,12.604,13.762,᷆
35,БДДР,"",205.569,20.0,198.523,96.57,178.523,96.2,7.531,7.531,~
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,112.228,78.91,106.818,78.08,8.266,16.75,↓
38,БДИБР,Белмекен,144.036,3.81,91.328,63.41,87.518,62.41,,,↑
39,БДИБР,Чаира,5.5,1.369,3.154,57.35,1.785,43.21,,,↓
40,БДИБР,Голям Беглик,62.111,3.942,55.828,89.88,51.886,89.2,,,↑
41,БДИБР,Широка поляна,23.98,3.3,21.058,87.81,17.758,85.87,,,↑
42,БДИБР,Беглика,1.554,0.242,0.928,59.72,0.686,52.29,0.504,0.481,↑
43,БДИБР,Тошков Чарк,1.782,0.276,1.563,87.71,1.287,85.46,0.397,0.756,↓
44,БДИБР,Батак,310.298,19.95,287.134,92.53,267.184,92.02,9.958,7.604,↑
45,БДЗБР,Доспат,449.249,14.907,405.679,90.3,390.772,89.97,3.915,3.915,~
46,БДИБР,Цанков камък,110.708,31.2,79.214,71.55,48.014,60.39,14.953,13.237,↑
47,БДИБР,Въча,226.12,24.52,191.118,84.52,166.598,82.64,14.097,22.153,↓
48,БДИБР,Кричим,20.256,1.73,19.39,95.72,17.66,95.33,21.446,26.357,↓
49,БДИБР,Кърджали,497.236,107.176,329.561,66.28,222.385,57.01,9.269,10.707,↓
50,БДИБР,Студен кладенец,387.772,90.667,273.97,70.65,183.303,61.7,19.43,14.059,↑
51,БДИБР,Ивайловград,156.702,59.526,112.266,71.64,52.74,54.27,23.237,15.194,↑
52,БДИБР,Розов кладенец,20.4,13.268,19.572,95.94,6.304,88.39,,,↓
