id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,583.171,89.0,495.971,87.31,31.304,15.046,↑
2,БДДР,Бели Искър,15.08,1.4,12.653,83.91,11.253,82.26,5.165,6.426,↓
3,БДДР,Среченска бара,15.5,1.0,15.27,98.52,14.27,98.41,2.222,1.759,↑
4,БДДР,Христо Смирненски,27.7,4.2,26.218,94.65,22.018,93.7,7.076,0.774,↑
5,БДДР,Йовковци,92.179,9.0,93.159,101.06,84.159,101.18,18.222,18.222,᷆
6,БДЧР,Тича,311.8,40.0,245.025,78.58,205.025,75.43,46.086,1.526,↑
7,БДЧР,Камчия,233.55,76.0,236.115,101.1,160.115,101.63,46.053,25.28,᷆
8,БДЧР,Ясна поляна,32.32,7.55,29.282,90.6,21.732,87.74,0.544,0.416,↑
9,БДИБР,Асеновец,28.2,2.0,28.147,99.81,26.147,99.8,2.65,2.322,᷆
10,БДИБР,Боровица,27.3,4.6,26.9,98.53,22.3,98.24,0.611,0.38,↑
11,БДЗБР,Студена,25.2,2.4,20.856,82.76,18.456,80.95,3.092,3.421,᷆
12,БДЗБР,Дяково,35.4,8.0,33.486,94.59,25.486,93.01,0.664,0.223,↑
13,БДЗБР,"",1.024,0.1,0.976,95.31,0.876,94.81,,,~
14,БДЗБР,"",2.252,0.2,2.24,99.47,2.04,99.42,,,↑
15,БДДР,"",31.6,2.5,18.114,57.32,15.614,53.66,0.77,0.77,~
16,БДДР,Панчарево,6.465,1.5,5.252,81.24,3.752,75.57,16.876,17.626,᷆
17,БДДР,Ястребино,62.3,3.9,45.802,73.52,41.902,71.75,14.896,0.417,↑
18,БДДР,Кула,20.25,0.7,10.291,50.82,9.591,49.06,0.012,0.046,↓
19,БДДР,Рабиша,43.2,2.4,16.318,37.77,13.918,34.11,0.012,0.313,↓
20,БДДР,Огоста,506.0,67.0,301.125,59.51,234.125,53.33,6.134,8.16,↓
21,БДДР,Сопот,60.908,1.3,49.95,82.01,48.65,81.62,0.521,0.521,~
22,БДДР,Горни Дъбник,130.0,3.0,57.351,44.12,54.351,42.8,0.938,0.938,~
23,БДДР,Бели Лом,25.5,3.2,9.846,38.61,6.646,29.8,0.324,0.104,↑
24,БДЧР,Съединение,12.81,1.5,8.245,64.36,6.745,59.64,0.428,0.278,↑
25,БДЧР,"",330.0,21.0,188.249,57.05,167.249,54.13,27.963,2.373,↑
26,БДЧР,Порой,45.2,2.0,6.4,14.16,4.4,10.19,0.555,0.26,↑
27,БДЧР,Ахелой,12.35,0.8,7.355,59.55,6.555,56.75,0.382,0.081,↑
28,БДИБР,Жребчево,400.0,30.0,333.392,83.35,303.392,82.0,32.569,8.032,↑
29,БДИБР,Малко Шарково,45.0,3.9,40.537,90.08,36.637,89.14,1.477,0.262,↑
30,БДИБР,Домлян,26.074,0.7,25.665,98.43,24.965,98.39,0.746,0.746,~
31,БДИБР,Пясъчник,206.53,3.4,48.872,23.66,45.472,22.39,3.619,0.263,↑
32,БДИБР,Тополница,137.108,20.0,118.354,86.32,98.354,83.99,7.836,11.921,↓
33,БДИБР,Тракиец,114.0,24.0,73.263,64.27,49.263,54.74,0.637,0.764,↓
34,БДЗБР,Пчелина,54.2,34.2,54.15,99.91,19.95,99.75,9.271,8.692,᷆
35,БДДР,"",205.569,20.0,203.525,99.01,183.525,98.9,41.524,24.615,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,117.262,82.45,111.852,81.76,24.574,6.9,↑
38,БДИБР,Белмекен,144.036,3.81,141.135,97.99,137.325,97.93,,,↑
39,БДИБР,Чаира,5.5,1.369,2.781,50.56,1.412,34.18,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,57.093,91.92,53.151,91.37,,,↓
41,БДИБР,Широка поляна,23.98,3.3,22.849,95.28,19.549,94.53,,,↓
42,БДИБР,Беглика,1.554,0.242,0.936,60.23,0.694,52.9,0.364,0.48,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.328,74.52,1.052,69.85,0.372,0.754,↓
44,БДИБР,Батак,310.298,19.95,285.304,91.95,265.354,91.39,10.744,11.921,↓
45,БДЗБР,Доспат,449.249,14.907,396.344,88.22,381.437,87.82,2.735,12.558,↓
46,БДИБР,Цанков камък,110.708,31.2,84.253,76.1,53.053,66.73,19.327,33.285,↓
47,БДИБР,Въча,226.12,24.52,191.466,84.67,166.946,82.81,35.341,24.265,↑
48,БДИБР,Кричим,20.256,1.73,19.884,98.16,18.154,97.99,26.534,25.427,↑
49,БДИБР,Кърджали,497.236,107.176,347.099,69.81,239.923,61.51,20.969,1.496,↑
50,БДИБР,Студен кладенец,387.772,90.667,265.929,68.58,175.262,58.99,10.32,39.353,↓
51,БДИБР,Ивайловград,156.702,59.526,120.903,77.15,61.377,63.16,43.939,9.901,↑
52,БДИБР,Розов кладенец,20.4,13.268,18.636,91.35,5.368,75.27,,,↓
