id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,525.711,80.23,438.511,77.2,8.532,10.09,↓
2,БДДР,Бели Искър,15.08,1.4,9.119,60.47,7.719,56.43,0.347,1.196,↓
3,БДДР,Среченска бара,15.5,1.0,15.37,99.16,14.37,99.1,0.59,0.59,~
4,БДДР,Христо Смирненски,27.7,4.2,24.412,88.13,20.212,86.01,0.575,1.451,↓
5,БДДР,Йовковци,92.179,9.0,85.629,92.9,76.629,92.13,2.554,0.662,↑
6,БДЧР,Тича,311.8,40.0,167.725,53.79,127.725,46.99,2.576,1.123,↑
7,БДЧР,Камчия,233.55,76.0,204.75,87.67,128.75,81.72,6.539,2.245,↑
8,БДЧР,Ясна поляна,32.32,7.55,26.335,81.48,18.785,75.84,0.555,0.289,↑
9,БДИБР,Асеновец,28.2,2.0,20.184,71.57,18.184,69.4,1.343,0.324,↑
10,БДИБР,Боровица,27.3,4.6,27.18,99.56,22.58,99.47,8.554,8.38,↑
11,БДЗБР,Студена,25.2,2.4,21.084,83.67,18.684,81.95,0.954,1.611,↓
12,БДЗБР,Дяково,35.4,8.0,30.963,87.47,22.963,83.81,0.0,0.381,↓
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.345,33.69,0.245,26.52,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,0.813,36.1,0.613,29.87,,,д
15,БДДР,Огняново - за рез.водоснабдяване,31.6,2.5,21.352,67.57,18.852,64.78,0.175,0.23,↓
16,БДДР,Панчарево,6.465,1.5,4.601,71.16,3.101,62.45,11.676,12.44,↓
17,БДДР,Ястребино,62.3,3.9,19.031,30.55,15.131,25.91,0.81,0.035,↑
18,БДДР,Кула,20.25,0.7,8.65,42.72,7.95,40.66,0.046,0.046,~
19,БДДР,Рабиша,43.2,2.4,14.692,34.01,12.292,30.13,1.238,0.035,↑
20,БДДР,Огоста,506.0,67.0,293.25,57.95,226.25,51.54,7.465,3.414,↑
21,БДДР,Сопот,60.908,1.3,37.67,61.85,36.37,61.02,1.019,0.208,↑
22,БДДР,Горни Дъбник,130.0,3.0,55.79,42.92,52.79,41.57,1.076,0.359,↑
23,БДДР,Бели Лом,25.5,3.2,8.668,33.99,5.468,24.52,0.035,0.035,~
24,БДЧР,Съединение,12.81,1.5,6.389,49.88,4.889,43.23,0.197,0.023,↑
25,БДЧР,Георги Трайков,330.0,21.0,135.342,41.01,114.342,37.0,1.269,1.269,~
26,БДЧР,Порой,45.2,2.0,10.964,24.26,8.964,20.75,0.185,0.0,↑
27,БДЧР,Ахелой,12.67,0.8,5.215,41.16,4.415,37.19,0.127,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,232.68,58.17,202.68,54.78,20.269,1.75,↑
29,БДИБР,Малко Шарково,45.0,3.9,33.438,74.31,29.538,71.87,2.48,0.1,↑
30,БДИБР,Домлян,26.074,0.7,16.405,62.92,15.705,61.89,0.646,0.09,↑
31,БДИБР,Пясъчник,206.53,3.4,29.644,14.35,26.244,12.92,1.785,0.188,↑
32,БДИБР,Тополница,137.108,20.0,80.712,58.87,60.712,51.84,9.606,0.359,↑
33,БДИБР,Тракиец,114.0,24.0,76.58,67.18,52.58,58.42,1.505,0.116,↑
34,БДЗБР,Пчелина,54.2,34.2,54.25,100.09,20.05,100.25,4.838,4.838,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,171.227,83.29,151.227,81.49,6.62,12.176,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,92.582,65.1,87.172,63.72,7.427,0.47,↑
38,БДИБР,Белмекен,144.036,3.81,86.33,59.94,82.52,58.85,,,↓
39,БДИБР,Чаира,5.5,1.369,3.107,56.49,1.738,42.07,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,55.004,88.56,51.062,87.78,,,↓
41,БДИБР,Широка поляна,23.98,3.3,23.011,95.96,19.711,95.31,,,↓
42,БДИБР,Беглика,1.554,0.242,0.97,62.42,0.728,55.49,0.743,0.951,↓
43,БДИБР,Тошков Чарк,1.782,0.276,0.936,52.53,0.66,43.82,0.81,1.25,↓
44,БДИБР,Батак,310.298,19.95,256.653,82.71,236.703,81.52,14.698,7.882,↑
45,БДЗБР,Доспат,449.249,14.907,429.969,95.71,415.062,95.56,4.803,16.279,↓
46,БДИБР,Цанков камък,110.708,31.2,92.027,83.13,60.827,76.5,36.585,44.49,↓
47,БДИБР,Въча,226.12,24.52,208.232,92.09,183.712,91.13,46.77,58.194,↓
48,БДИБР,Кричим,20.256,1.73,18.385,90.76,16.655,89.9,58.053,63.585,↓
49,БДИБР,Кърджали,497.236,107.176,472.456,95.02,365.28,93.65,40.506,78.434,↓
50,БДИБР,Студен кладенец,387.772,90.667,370.152,95.46,279.485,94.07,121.608,140.554,↓
51,БДИБР,Ивайловград,156.702,59.526,120.285,76.76,60.759,62.52,143.084,186.513,↓
52,БДИБР,Розов кладенец,20.4,13.268,18.312,89.76,5.044,70.72,,,↓
