id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,568.078,86.7,480.878,84.65,11.042,14.259,↓
2,БДДР,Бели Искър,15.08,1.4,11.164,74.03,9.764,71.38,1.585,0.659,↑
3,БДДР,Среченска бара,15.5,1.0,15.46,99.74,14.46,99.72,0.001,0.001,~
4,БДДР,Христо Смирненски,27.7,4.2,22.258,80.35,18.058,76.84,0.028,0.756,↓
5,БДДР,Йовковци,92.179,9.0,90.693,98.39,81.693,98.21,0.132,4.764,↓
6,БДЧР,Тича,311.8,40.0,259.856,83.34,219.856,80.89,0.787,2.916,↓
7,БДЧР,Камчия,233.55,76.0,233.17,99.84,157.17,99.76,1.205,2.895,↓
8,БДЧР,Ясна поляна,32.32,7.55,25.201,77.97,17.651,71.26,0.012,0.451,↓
9,БДИБР,Асеновец,28.2,2.0,22.504,79.8,20.504,78.26,0.324,0.602,↓
10,БДИБР,Боровица,27.3,4.6,27.12,99.34,22.52,99.21,0.043,0.39,↓
11,БДЗБР,Студена,25.2,2.4,24.059,95.47,21.659,95.0,1.166,0.784,↑
12,БДЗБР,Дяково,35.4,8.0,29.515,83.37,21.515,78.52,2.38,0.252,↑
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.788,76.9,0.688,74.4,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,1.667,74.01,1.467,71.48,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,19.69,62.31,17.19,59.07,0.74,0.335,↑
16,БДДР,Панчарево,6.465,1.5,5.245,81.13,3.745,75.42,14.701,15.201,᷆
17,БДДР,Ястребино,62.3,3.9,47.551,76.33,43.651,74.74,1.192,2.141,↓
18,БДДР,Кула,20.25,0.7,8.524,42.09,7.824,40.02,0.139,0.139,~
19,БДДР,Рабиша,43.2,2.4,12.881,29.82,10.481,25.69,0.023,0.023,~
20,БДДР,Огоста,506.0,67.0,259.235,51.23,192.235,43.79,25.868,6.019,↑
21,БДДР,Сопот,60.908,1.3,49.162,80.72,47.862,80.29,0.532,0.532,~
22,БДДР,Горни Дъбник,130.0,3.0,56.44,43.42,53.44,42.08,0.069,1.215,↓
23,БДДР,Бели Лом,25.5,3.2,9.732,38.16,6.532,29.29,0.093,0.093,~
24,БДЧР,Съединение,12.81,1.5,8.719,68.06,7.219,63.83,0.104,0.104,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,208.369,63.14,187.369,60.64,0.454,2.167,↓
26,БДЧР,Порой,45.2,2.0,5.614,12.42,3.614,8.37,0.069,0.127,↓
27,БДЧР,Ахелой,12.35,0.8,3.205,25.95,2.405,20.82,0.012,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,254.333,63.58,224.333,60.63,1.582,11.7,↓
29,БДИБР,Малко Шарково,45.0,3.9,38.153,84.78,34.253,83.34,0.248,0.248,~
30,БДИБР,Домлян,26.074,0.7,23.867,91.54,23.167,91.3,0.108,0.825,↓
31,БДИБР,Пясъчник,206.53,3.4,53.334,25.82,49.934,24.58,0.284,0.284,~
32,БДИБР,Тополница,137.108,20.0,111.27,81.16,91.27,77.94,5.475,9.896,↓
33,БДИБР,Тракиец,114.0,24.0,73.64,64.6,49.64,55.16,0.093,0.729,↓
34,БДЗБР,Пчелина,54.2,34.2,54.0,99.63,19.8,99.0,5.185,5.185,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,152.6,74.23,132.6,71.46,2.292,7.419,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,105.691,74.32,100.281,73.3,3.831,11.748,↓
38,БДИБР,Белмекен,144.036,3.81,137.335,95.35,133.525,95.22,,,↓
39,БДИБР,Чаира,5.5,1.369,3.695,67.18,2.326,56.3,,,↓
40,БДИБР,Голям Беглик,62.111,3.942,56.064,90.26,52.122,89.6,,,↑
41,БДИБР,Широка поляна,23.98,3.3,20.343,84.83,17.043,82.41,,,↑
42,БДИБР,Беглика,1.554,0.242,0.909,58.46,0.667,50.8,0.37,0.484,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.482,83.18,1.206,80.1,0.457,0.696,↓
44,БДИБР,Батак,310.298,19.95,233.002,75.09,213.052,73.38,5.356,13.997,↓
45,БДЗБР,Доспат,449.249,14.907,384.992,85.7,370.085,85.21,3.222,3.222,~
46,БДИБР,Цанков камък,110.708,31.2,83.889,75.78,52.689,66.27,15.661,18.065,↓
47,БДИБР,Въча,226.12,24.52,217.067,96.0,192.547,95.51,19.998,19.448,↑
48,БДИБР,Кричим,20.256,1.73,19.624,96.88,17.894,96.59,19.284,22.692,↓
49,БДИБР,Кърджали,497.236,107.176,437.952,88.08,330.776,84.8,21.108,14.183,↑
50,БДИБР,Студен кладенец,387.772,90.667,296.407,76.44,205.74,69.25,22.473,30.978,↓
51,БДИБР,Ивайловград,156.702,59.526,123.025,78.51,63.499,65.34,32.753,25.485,↑
52,БДИБР,Розов кладенец,20.4,13.268,19.212,94.18,5.944,83.34,,,↓
