id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,561.149,85.64,473.949,83.43,6.313,15.916,↓
2,БДДР,Бели Искър,15.08,1.4,11.542,76.54,10.142,74.14,0.808,0.808,~
3,БДДР,Среченска бара,15.5,1.0,15.35,99.03,14.35,98.97,0.648,0.648,~
4,БДДР,Христо Смирненски,27.7,4.2,21.525,77.71,17.325,73.72,0.064,0.341,↓
5,БДДР,Йовковци,92.179,9.0,89.113,96.67,80.113,96.31,0.118,0.767,↓
6,БДЧР,Тича,311.8,40.0,256.507,82.27,216.507,79.66,0.227,2.782,↓
7,БДЧР,Камчия,233.55,76.0,228.146,97.69,152.146,96.57,0.845,2.997,↓
8,БДЧР,Ясна поляна,32.32,7.55,23.926,74.03,16.376,66.11,0.012,0.567,↓
9,БДИБР,Асеновец,28.2,2.0,21.84,77.45,19.84,75.73,0.081,0.544,↓
10,БДИБР,Боровица,27.3,4.6,26.8,98.17,22.2,97.8,0.159,0.39,↓
11,БДЗБР,Студена,25.2,2.4,24.193,96.0,21.793,95.58,1.26,1.654,↓
12,БДЗБР,Дяково,35.4,8.0,29.877,84.4,21.877,79.84,0.16,0.16,~
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.913,89.16,0.813,87.99,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,1.685,74.84,1.485,72.38,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,19.393,61.37,16.893,58.05,0.138,0.335,↓
16,БДДР,Панчарево,6.465,1.5,5.31,82.13,3.81,76.73,14.808,15.058,᷆
17,БДДР,Ястребино,62.3,3.9,45.196,72.55,41.296,70.71,0.139,1.551,↓
18,БДДР,Кула,20.25,0.7,8.44,41.68,7.74,39.59,0.15,0.15,~
19,БДДР,Рабиша,43.2,2.4,12.881,29.82,10.481,25.69,0.046,0.046,~
20,БДДР,Огоста,506.0,67.0,263.19,52.01,196.19,44.69,7.06,7.06,~
21,БДДР,Сопот,60.908,1.3,46.04,75.59,44.74,75.06,1.053,3.137,↓
22,БДДР,Горни Дъбник,130.0,3.0,55.353,42.58,52.353,41.22,1.019,1.748,↓
23,БДДР,Бели Лом,25.5,3.2,9.599,37.64,6.399,28.7,0.023,0.243,↓
24,БДЧР,Съединение,12.81,1.5,8.71,67.99,7.21,63.75,0.012,0.116,↓
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,205.027,62.13,184.027,59.56,0.032,3.041,↓
26,БДЧР,Порой,45.2,2.0,5.458,12.08,3.458,8.0,0.012,0.012,~
27,БДЧР,Ахелой,12.35,0.8,3.145,25.47,2.345,20.3,0.012,0.023,↓
28,БДИБР,Жребчево,400.0,30.0,233.32,58.33,203.32,54.95,0.012,18.53,↓
29,БДИБР,Малко Шарково,45.0,3.9,37.387,83.08,33.487,81.48,0.012,0.752,↓
30,БДИБР,Домлян,26.074,0.7,19.934,76.45,19.234,75.8,0.104,3.581,↓
31,БДИБР,Пясъчник,206.53,3.4,48.002,23.24,44.602,21.96,0.0,5.37,↓
32,БДИБР,Тополница,137.108,20.0,92.051,67.14,72.051,61.53,1.586,16.169,↓
33,БДИБР,Тракиец,114.0,24.0,72.277,63.4,48.277,53.64,0.058,0.961,↓
34,БДЗБР,Пчелина,54.2,34.2,53.95,99.54,19.75,98.75,4.259,4.259,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,137.435,66.86,117.435,63.28,0.859,12.422,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,86.579,60.88,81.169,59.33,0.677,15.718,↓
38,БДИБР,Белмекен,144.036,3.81,137.459,95.43,133.649,95.31,,,↓
39,БДИБР,Чаира,5.5,1.369,3.5,63.64,2.131,51.6,,,↓
40,БДИБР,Голям Беглик,62.111,3.942,54.965,88.5,51.023,87.72,,,↓
41,БДИБР,Широка поляна,23.98,3.3,21.095,87.97,17.795,86.05,,,↓
42,БДИБР,Беглика,1.554,0.242,0.904,58.14,0.662,50.42,0.207,0.007,↑
43,БДИБР,Тошков Чарк,1.782,0.276,1.086,60.94,0.81,53.78,0.254,0.506,↓
44,БДИБР,Батак,310.298,19.95,219.376,70.7,199.426,68.69,6.791,11.112,↓
45,БДЗБР,Доспат,449.249,14.907,384.886,85.67,369.979,85.18,2.927,4.155,↓
46,БДИБР,Цанков камък,110.708,31.2,89.205,80.58,58.005,72.96,8.801,13.589,↓
47,БДИБР,Въча,226.12,24.52,200.981,88.88,176.461,87.53,14.519,16.129,↓
48,БДИБР,Кричим,20.256,1.73,19.399,95.77,17.669,95.37,15.622,20.734,↓
49,БДИБР,Кърджали,497.236,107.176,437.204,87.93,330.028,84.61,13.956,20.88,↓
50,БДИБР,Студен кладенец,387.772,90.667,283.605,73.14,192.938,64.94,22.152,24.907,↓
51,БДИБР,Ивайловград,156.702,59.526,130.304,83.15,70.778,72.83,23.145,23.145,~
52,БДИБР,Розов кладенец,20.4,13.268,18.168,89.06,4.9,68.7,,,↓
