id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,492.591,75.18,405.391,71.37,13.962,13.962,~
2,БДДР,Бели Искър,15.08,1.4,5.515,36.57,4.115,30.08,0.88,2.175,↓
3,БДДР,Среченска бара,15.5,1.0,15.142,97.69,14.142,97.53,0.313,0.544,↓
4,БДДР,Христо Смирненски,27.7,4.2,25.333,91.46,21.133,89.93,1.867,1.429,↑
5,БДДР,Йовковци,92.179,9.0,87.331,94.74,78.331,94.17,5.185,0.713,↑
6,БДЧР,Тича,311.8,40.0,249.925,80.16,209.925,77.24,6.517,2.466,↑
7,БДЧР,Камчия,233.55,76.0,234.215,100.28,158.215,100.42,6.679,5.107,᷆
8,БДЧР,Ясна поляна,32.32,7.55,25.519,78.96,17.969,72.54,0.185,0.324,↓
9,БДИБР,Асеновец,28.2,2.0,21.568,76.48,19.568,74.69,1.111,0.648,↑
10,БДИБР,Боровица,27.3,4.6,27.22,99.71,22.62,99.65,0.272,0.33,↓
11,БДЗБР,Студена,25.2,2.4,21.197,84.12,18.797,82.44,3.06,0.759,↑
12,БДЗБР,Дяково,35.4,8.0,25.121,70.96,17.121,62.48,1.495,0.325,↑
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.276,26.94,0.176,19.04,,,↓
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,0.221,9.83,0.021,1.05,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,18.42,58.29,15.92,54.71,2.502,1.46,↑
16,БДДР,Панчарево,6.465,1.5,5.043,78.01,3.543,71.36,15.347,16.597,᷆
17,БДДР,Ястребино,62.3,3.9,44.873,72.03,40.973,70.16,0.972,0.509,↑
18,БДДР,Кула,20.25,0.7,8.819,43.55,8.119,41.53,0.116,0.116,~
19,БДДР,Рабиша,43.2,2.4,11.893,27.53,9.493,23.27,0.44,0.0,↑
20,БДДР,Огоста,506.0,67.0,231.765,45.8,164.765,37.53,9.954,4.282,↑
21,БДДР,Сопот,60.908,1.3,44.027,72.28,42.727,71.68,3.53,0.463,↑
22,БДДР,Горни Дъбник,130.0,3.0,58.1,44.69,55.1,43.39,2.384,1.667,↑
23,БДДР,Бели Лом,25.5,3.2,9.466,37.12,6.266,28.1,0.081,0.081,~
24,БДЧР,Съединение,12.81,1.5,8.588,67.04,7.088,62.67,0.069,0.069,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,176.934,53.62,155.934,50.46,4.668,1.659,↑
26,БДЧР,Порой,45.2,2.0,5.627,12.45,3.627,8.4,0.022,3.376,↓
27,БДЧР,Ахелой,12.35,0.8,2.876,23.29,2.076,17.97,0.069,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,244.647,61.16,214.647,58.01,17.053,1.59,↑
29,БДИБР,Малко Шарково,45.0,3.9,38.408,85.35,34.508,83.96,1.875,1.505,↑
30,БДИБР,Домлян,26.074,0.7,16.033,61.49,15.333,60.43,2.041,0.097,↑
31,БДИБР,Пясъчник,206.53,3.4,45.682,22.12,42.282,20.82,2.254,0.24,↑
32,БДИБР,Тополница,137.108,20.0,121.079,88.31,101.079,86.31,12.245,0.556,↑
33,БДИБР,Тракиец,114.0,24.0,73.156,64.17,49.156,54.62,0.093,0.185,↓
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,7.407,7.407,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,151.103,73.5,131.103,70.65,20.627,11.492,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,84.038,59.09,78.628,57.47,10.934,1.03,↑
38,БДИБР,Белмекен,144.036,3.81,52.13,36.19,48.32,34.46,,,↑
39,БДИБР,Чаира,5.5,1.369,2.916,53.01,1.547,37.44,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,39.401,63.44,35.459,60.96,,,↑
41,БДИБР,Широка поляна,23.98,3.3,7.476,31.18,4.176,20.19,,,↑
42,БДИБР,Беглика,1.554,0.242,0.911,58.62,0.669,50.99,0.654,1.111,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.124,63.05,0.848,56.28,1.191,1.283,↓
44,БДИБР,Батак,310.298,19.95,236.187,76.12,216.237,74.48,11.936,5.313,↑
45,БДЗБР,Доспат,449.249,14.907,359.801,80.09,344.894,79.41,9.954,7.584,↑
46,БДИБР,Цанков камък,110.708,31.2,77.818,70.29,46.618,58.63,23.52,24.365,↓
47,БДИБР,Въча,226.12,24.52,196.853,87.06,172.333,85.48,31.495,25.365,↑
48,БДИБР,Кричим,20.256,1.73,19.572,96.62,17.842,96.31,25.922,27.428,↓
49,БДИБР,Кърджали,497.236,107.176,318.168,63.99,210.992,54.09,22.395,4.252,↑
50,БДИБР,Студен кладенец,387.772,90.667,251.943,64.97,161.276,54.28,11.432,18.942,↓
51,БДИБР,Ивайловград,156.702,59.526,116.036,74.05,56.51,58.15,25.887,9.379,↑
52,БДИБР,Розов кладенец,20.4,13.268,18.78,92.06,5.512,77.29,,,↓
