id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,568.912,86.82,481.712,84.8,10.339,13.558,↓
2,БДДР,Бели Искър,15.08,1.4,10.921,72.42,9.521,69.6,0.848,0.684,↑
3,БДДР,Среченска бара,15.5,1.0,15.47,99.81,14.47,99.79,0.0,0.001,↓
4,БДДР,Христо Смирненски,27.7,4.2,22.384,80.81,18.184,77.38,0.027,0.755,↓
5,БДДР,Йовковци,92.179,9.0,91.149,98.88,82.149,98.76,1.429,4.749,↓
6,БДЧР,Тича,311.8,40.0,260.224,83.46,220.224,81.02,3.149,7.408,↓
7,БДЧР,Камчия,233.55,76.0,233.55,100.0,157.55,100.0,2.616,2.766,↓
8,БДЧР,Ясна поляна,32.32,7.55,25.332,78.38,17.782,71.79,0.012,0.417,↓
9,БДИБР,Асеновец,28.2,2.0,22.552,79.97,20.552,78.44,0.44,0.625,↓
10,БДИБР,Боровица,27.3,4.6,27.15,99.45,22.55,99.34,0.159,0.39,↓
11,БДЗБР,Студена,25.2,2.4,24.026,95.34,21.626,94.85,0.756,0.756,~
12,БДЗБР,Дяково,35.4,8.0,29.386,83.01,21.386,78.05,1.126,0.275,↑
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.79,77.15,0.69,74.68,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,1.662,73.8,1.462,71.25,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,19.673,62.26,17.173,59.01,0.138,0.335,↓
16,БДДР,Панчарево,6.465,1.5,5.302,82.02,3.802,76.58,13.494,12.994,᷆
17,БДДР,Ястребино,62.3,3.9,47.715,76.59,43.815,75.03,1.204,2.141,↓
18,БДДР,Кула,20.25,0.7,8.535,42.15,7.835,40.08,0.023,0.139,↓
19,БДДР,Рабиша,43.2,2.4,12.881,29.82,10.481,25.69,0.023,0.023,~
20,БДДР,Огоста,506.0,67.0,257.36,50.86,190.36,43.36,7.87,6.019,↑
21,БДДР,Сопот,60.908,1.3,49.208,80.79,47.908,80.37,0.0,0.532,↓
22,БДДР,Горни Дъбник,130.0,3.0,56.637,43.57,53.637,42.23,0.174,1.215,↓
23,БДДР,Бели Лом,25.5,3.2,9.742,38.2,6.542,29.34,0.116,0.22,↓
24,БДЧР,Съединение,12.81,1.5,8.719,68.06,7.219,63.83,0.104,0.104,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,208.517,63.19,187.517,60.69,0.524,2.237,↓
26,БДЧР,Порой,45.2,2.0,5.627,12.45,3.627,8.4,0.266,0.336,↓
27,БДЧР,Ахелой,12.35,0.8,3.209,25.98,2.409,20.86,0.046,0.023,↑
28,БДИБР,Жребчево,400.0,30.0,256.091,64.02,226.091,61.11,3.959,10.098,↓
29,БДИБР,Малко Шарково,45.0,3.9,38.169,84.82,34.269,83.38,0.213,0.398,↓
30,БДИБР,Домлян,26.074,0.7,24.038,92.19,23.338,91.97,0.108,0.108,~
31,БДИБР,Пясъчник,206.53,3.4,53.272,25.79,49.872,24.55,0.291,0.291,~
32,БДИБР,Тополница,137.108,20.0,112.177,81.82,92.177,78.71,4.468,9.988,↓
33,БДИБР,Тракиец,114.0,24.0,73.75,64.69,49.75,55.28,0.093,0.729,↓
34,БДЗБР,Пчелина,54.2,34.2,54.0,99.63,19.8,99.0,5.185,5.185,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,153.841,74.84,133.841,72.12,1.342,11.631,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,107.063,75.28,101.653,74.31,3.45,11.459,↓
38,БДИБР,Белмекен,144.036,3.81,137.83,95.69,134.02,95.57,,,↓
39,БДИБР,Чаира,5.5,1.369,3.709,67.44,2.34,56.65,,,↓
40,БДИБР,Голям Беглик,62.111,3.942,55.631,89.57,51.689,88.86,,,↑
41,БДИБР,Широка поляна,23.98,3.3,20.08,83.74,16.78,81.14,,,↑
42,БДИБР,Беглика,1.554,0.242,0.933,60.05,0.691,52.68,0.277,0.506,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.522,85.4,1.246,82.73,0.443,0.721,↓
44,БДИБР,Батак,310.298,19.95,234.682,75.63,214.732,73.96,3.494,12.135,↓
45,БДЗБР,Доспат,449.249,14.907,385.311,85.77,370.404,85.28,3.705,4.933,↓
46,БДИБР,Цанков камък,110.708,31.2,86.121,77.79,54.921,69.08,18.404,31.413,↓
47,БДИБР,Въча,226.12,24.52,216.45,95.72,191.93,95.2,31.053,26.655,↑
48,БДИБР,Кричим,20.256,1.73,20.005,98.76,18.275,98.64,26.421,21.71,↑
49,БДИБР,Кърджали,497.236,107.176,442.152,88.92,334.976,85.88,21.288,28.252,↓
50,БДИБР,Студен кладенец,387.772,90.667,297.142,76.63,206.475,69.5,24.941,47.675,↓
51,БДИБР,Ивайловград,156.702,59.526,123.91,79.07,64.384,66.26,38.531,32.668,↑
52,БДИБР,Розов кладенец,20.4,13.268,19.32,94.71,6.052,84.86,,,↓
