id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,491.807,75.06,404.607,71.23,21.648,9.561,↑
2,БДДР,Бели Искър,15.08,1.4,5.793,38.41,4.393,32.11,1.47,2.088,↓
3,БДДР,Среченска бара,15.5,1.0,15.171,97.88,14.171,97.73,1.343,1.794,↓
4,БДДР,Христо Смирненски,27.7,4.2,25.194,90.95,20.994,89.34,0.849,1.433,↓
5,БДДР,Йовковци,92.179,9.0,86.34,93.67,77.34,92.98,5.141,0.706,↑
6,БДЧР,Тича,311.8,40.0,248.525,79.71,208.525,76.72,3.657,1.632,↑
7,БДЧР,Камчия,233.55,76.0,234.025,100.2,158.025,100.3,3.912,3.76,᷆
8,БДЧР,Ясна поляна,32.32,7.55,25.537,79.01,17.987,72.62,0.185,0.324,↓
9,БДИБР,Асеновец,28.2,2.0,21.464,76.11,19.464,74.29,1.563,0.822,↑
10,БДИБР,Боровица,27.3,4.6,27.225,99.73,22.625,99.67,0.33,0.33,~
11,БДЗБР,Студена,25.2,2.4,20.714,82.2,18.314,80.33,3.044,0.784,↑
12,БДЗБР,Дяково,35.4,8.0,24.784,70.01,16.784,61.25,2.584,0.119,↑
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.289,28.17,0.189,20.4,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,0.22,9.76,0.02,0.96,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,18.258,57.78,15.758,54.15,1.46,1.46,~
16,БДДР,Панчарево,6.465,1.5,5.202,80.46,3.702,74.55,22.634,23.467,᷆
17,БДДР,Ястребино,62.3,3.9,44.752,71.83,40.852,69.95,0.822,0.359,↑
18,БДДР,Кула,20.25,0.7,8.828,43.6,8.128,41.58,0.058,0.116,↓
19,БДДР,Рабиша,43.2,2.4,11.817,27.35,9.417,23.08,0.22,0.0,↑
20,БДДР,Огоста,506.0,67.0,229.585,45.37,162.585,37.04,16.725,6.481,↑
21,БДДР,Сопот,60.908,1.3,42.8,70.27,41.5,69.62,6.713,0.463,↑
22,БДДР,Горни Дъбник,130.0,3.0,58.038,44.64,55.038,43.34,1.667,1.667,~
23,БДДР,Бели Лом,25.5,3.2,9.466,37.12,6.266,28.1,0.521,0.081,↑
24,БДЧР,Съединение,12.81,1.5,8.57,66.9,7.07,62.51,0.069,0.069,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,176.413,53.46,155.413,50.3,6.277,1.763,↑
26,БДЧР,Порой,45.2,2.0,5.614,12.42,3.614,8.37,0.277,0.115,↑
27,БДЧР,Ахелой,12.35,0.8,2.861,23.17,2.061,17.84,0.197,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,241.975,60.49,211.975,57.29,11.254,1.59,↑
29,БДИБР,Малко Шарково,45.0,3.9,38.344,85.21,34.444,83.81,1.505,1.505,~
30,БДИБР,Домлян,26.074,0.7,15.433,59.19,14.733,58.06,3.429,0.095,↑
31,БДИБР,Пясъчник,206.53,3.4,45.16,21.87,41.76,20.56,2.923,0.238,↑
32,БДИБР,Тополница,137.108,20.0,118.102,86.14,98.102,83.77,11.065,0.556,↑
33,БДИБР,Тракиец,114.0,24.0,73.19,64.2,49.19,54.66,0.579,2.315,↓
34,БДЗБР,Пчелина,54.2,34.2,54.1,99.82,19.9,99.5,7.407,7.407,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,147.008,71.51,127.008,68.44,17.676,11.681,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,81.802,57.52,76.392,55.84,15.947,1.95,↑
38,БДИБР,Белмекен,144.036,3.81,52.287,36.3,48.477,34.57,,,↓
39,БДИБР,Чаира,5.5,1.369,2.82,51.27,1.451,35.13,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,38.986,62.77,35.044,60.25,,,↑
41,БДИБР,Широка поляна,23.98,3.3,7.19,29.98,3.89,18.81,,,↑
42,БДИБР,Беглика,1.554,0.242,0.955,61.48,0.713,54.38,0.841,0.955,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.006,56.46,0.73,48.49,1.493,0.66,↑
44,БДИБР,Батак,310.298,19.95,233.935,75.39,213.985,73.7,17.414,8.773,↑
45,БДЗБР,Доспат,449.249,14.907,358.573,79.82,343.666,79.12,10.842,10.842,~
46,БДИБР,Цанков камък,110.708,31.2,77.696,70.18,46.496,58.48,29.929,29.086,↑
47,БДИБР,Въча,226.12,24.52,196.279,86.8,171.759,85.2,34.701,23.469,↑
48,БДИБР,Кричим,20.256,1.73,19.719,97.35,17.989,97.1,23.244,20.538,↑
49,БДИБР,Кърджали,497.236,107.176,312.89,62.93,205.714,52.74,25.289,4.666,↑
50,БДИБР,Студен кладенец,387.772,90.667,253.677,65.42,163.01,54.87,18.015,15.498,↑
51,БДИБР,Ивайловград,156.702,59.526,114.846,73.29,55.32,56.93,25.212,0.733,↑
52,БДИБР,Розов кладенец,20.4,13.268,18.924,92.76,5.656,79.3,,,↓
