id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,509.434,77.75,422.234,64.44,17.118,3.445,↑
2,БДДР,Бели Искър,15.08,1.4,4.901,32.5,3.501,23.22,4.619,2.398,↑
3,БДДР,Среченска бара,15.5,1.0,15.38,99.23,14.38,92.77,1.053,1.157,↓
4,БДДР,Христо Смирненски,27.7,4.2,24.059,86.86,19.859,71.69,0.5,1.376,↓
5,БДДР,Йовковци,92.179,9.0,74.672,81.01,65.672,71.24,1.787,0.642,↓
6,БДДР,Ястребино,62.3,3.9,18.73,30.06,14.83,23.8,0.127,1.725,↓
7,БДЧР,Тича,311.8,40.0,158.506,50.84,118.506,38.01,0.01,1.7,↓
8,БДЧР,Камчия,233.55,76.3,156.974,67.21,80.674,34.54,0.74,2.234,↓
9,БДЧР,Ясна поляна,32.32,7.55,28.211,87.29,20.661,63.93,0.208,0.324,↓
10,БДИБР,Асеновец,28.2,2.0,11.54,40.92,9.54,33.83,0.428,0.278,↑
11,БДИБР,Боровица,27.3,4.6,27.24,99.78,22.64,82.93,0.42,0.42,~
12,БДЗБР,Студена,25.2,2.4,15.32,60.79,12.92,51.27,2.668,0.309,↑
13,БДЗБР,Дяково,35.4,8.0,23.992,67.77,15.992,45.17,3.138,0.044,↑
14,БДЗБР,Калин,1.024,0.1,0.354,34.6,0.254,24.83,,,↑
16,БДДР,Панчарево,6.465,1.5,5.202,80.46,3.702,57.26,5.214,6.047,↓
17,БДДР,Огняново,31.6,2.5,20.425,64.64,17.925,56.72,0.213,0.108,~
18,БДДР,Кула,20.25,0.7,8.622,42.58,7.922,39.12,0.002,0.025,↓
19,БДДР,Рабиша,43.2,2.4,16.5,38.19,14.1,32.64,0.512,0.512,~
20,БДДР,Огоста,506.0,67.0,223.6,44.19,156.6,30.95,6.076,3.762,↑
21,БДДР,Сопот,60.908,1.3,39.11,64.21,37.81,62.08,5.579,0.37,↑
22,БДДР,Горни Дъбник,130.0,3.0,55.229,42.48,52.229,40.18,0.961,0.961,~
23,БДДР,Бели Лом,25.5,3.2,11.349,44.51,8.149,31.96,0.023,0.162,↓
24,БДЧР,Съединение,12.81,1.5,6.573,51.31,5.073,39.6,0.081,0.081,~
25,БДЧР,Георги Трайков,330.0,21.0,134.549,40.77,113.549,34.41,1.649,1.649,↓
26,БДЧР,Порой,45.2,2.0,10.74,23.76,8.74,19.34,0.124,0.124,~
27,БДЧР,Ахелой,12.67,0.8,2.483,19.6,1.683,13.28,0.101,0.101,~
28,БДИБР,Жребчево,400.0,30.0,170.512,42.63,140.512,35.13,5.376,2.32,↑
29,БДИБР,Малко Шарково,45.0,3.9,27.021,60.05,23.121,51.38,0.01,0.085,↓
30,БДИБР,Домлян,26.074,1.2,17.791,68.23,16.591,63.63,2.148,0.162,↑
31,БДИБР,Пясъчник,206.53,3.4,65.22,31.58,61.82,29.93,1.174,0.34,↑
32,БДИБР,Тополница,137.108,20.0,110.507,80.6,90.507,66.01,6.933,6.933,↑
33,БДИБР,Тракиец,114.0,24.0,76.86,67.42,52.86,46.37,0.139,0.486,↓
34,БДЗБР,Пчелина,54.2,34.2,53.95,99.54,19.75,36.44,3.553,3.553,↓
35,БДДР,Александър Стамболийски,205.569,20.0,166.31,80.9,146.31,71.17,7.764,10.729,↓
36,БДИБР,Копринка,142.214,5.41,99.07,69.66,93.66,65.86,8.883,4.99,↑
37,БДИБР,Белмекен,144.036,3.81,104.838,72.79,101.028,70.14,,,↑
38,БДИБР,Чаира,5.5,1.369,3.385,61.55,2.016,36.65,,,↓
39,БДИБР,Голям Беглик,62.111,3.942,55.278,89.0,51.336,82.65,,,↑
40,БДИБР,Широка поляна,23.98,3.3,20.607,85.93,17.307,72.17,,,↑
41,БДИБР,Беглика,1.554,0.242,0.857,55.15,0.615,39.58,0.46,0.475,↓
42,БДИБР,Тошков Чарк,1.782,0.276,0.584,32.77,0.308,17.28,0.514,0.625,↓
43,БДИБР,Батак,310.298,19.95,241.91,77.96,221.96,71.53,10.205,7.488,↑
44,БДЗБР,Доспат,449.249,14.907,394.434,87.8,379.527,84.48,3.308,0.0,↑
45,БДИБР,Цанков камък,110.708,69.608,82.525,74.54,12.917,11.67,8.716,7.281,↑
46,БДИБР,Въча,226.12,24.52,205.857,91.04,181.337,80.2,9.043,14.157,↑
47,БДИБР,Кричим,20.256,18.526,19.546,96.49,1.02,5.03,14.278,9.519,↓
48,БДИБР,Кърджали,497.236,107.176,414.798,83.42,307.622,61.87,30.066,20.057,↑
49,БДИБР,Студен кладенец,387.772,90.667,300.83,77.58,210.163,54.2,32.256,28.613,↑
50,БДИБР,Ивайловград,156.702,59.526,121.523,77.55,61.997,39.56,37.162,10.587,↑
51,БДИБР,Овчарица,62.452,31.025,41.678,66.74,10.653,17.06,,,↑
