id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,514.213,78.48,427.013,75.17,2.376,10.077,↓
2,БДДР,"",15.08,1.4,9.947,65.96,8.547,62.48,0.163,0.959,↓
3,БДДР,"",15.5,1.0,14.182,91.5,13.182,90.91,0.046,0.718,↓
4,БДДР,Смирненск,27.7,4.2,22.069,79.67,17.869,76.04,0.033,0.762,↓
5,БДДР,Йовковци,92.179,9.0,87.552,94.98,78.552,94.44,0.124,0.765,↓
6,БДЧР,Тича,311.8,40.0,237.885,76.29,197.885,72.81,0.069,2.499,↓
7,БДЧР,Камчия,233.55,76.0,211.722,90.65,135.722,86.15,0.024,2.824,↓
8,БДЧР,"",32.32,7.55,23.325,72.17,15.775,63.69,0.012,0.475,↓
9,БДИБР,Асеновец,28.2,2.0,23.62,83.76,21.62,82.52,0.012,0.938,↓
10,БДИБР,Боровица,27.3,4.6,24.729,90.58,20.129,88.67,0.056,0.45,↓
11,БДЗБР,Студена,25.2,2.4,17.942,71.2,15.542,68.17,0.218,0.753,↓
12,БДЗБР,Дяково,35.4,8.0,29.894,84.45,21.894,79.9,0.0,0.762,↓
13,БДЗБР,рез.водосн,1.024,0.1,0.867,84.65,0.767,82.99,,,~
14,БДЗБР,"",2.252,0.2,1.304,57.88,1.104,53.78,,,↓
15,БДДР,рез.водосн,31.6,2.5,16.914,53.53,14.414,49.53,0.069,0.37,↓
16,БДДР,Панчарево,6.465,1.5,5.38,83.22,3.88,78.16,7.984,8.692,᷆
17,БДДР,Ястребино,62.3,3.9,41.311,66.31,37.411,64.06,0.22,1.053,↓
18,БДДР,Кула,20.25,0.7,9.3,45.93,8.6,43.99,0.012,0.15,↓
19,БДДР,Рабиша,43.2,2.4,12.45,28.82,10.05,24.63,0.012,0.081,↓
20,БДДР,Огоста,506.0,67.0,239.89,47.41,172.89,39.38,0.231,14.005,↓
21,БДДР,Сопот,60.908,1.3,37.0,60.75,35.7,59.89,1.03,3.345,↓
22,БДДР,"",130.0,3.0,50.371,38.75,47.371,37.3,0.938,1.597,↓
23,БДДР,Бели Лом,25.5,3.2,8.954,35.11,5.754,25.8,0.058,0.266,↓
24,БДЧР,"",12.81,1.5,7.982,62.31,6.482,57.31,0.116,0.116,~
25,БДЧР,"",330.0,21.0,180.576,54.72,159.576,51.64,0.043,3.053,↓
26,БДЧР,Порой,45.2,2.0,5.77,12.77,3.77,8.73,0.012,0.0,↑
27,БДЧР,Ахелой,12.35,0.8,3.483,28.2,2.683,23.23,0.024,0.428,↓
28,БДИБР,Жребчево,400.0,30.0,251.828,62.96,221.828,59.95,3.177,10.908,↓
29,БДИБР,"",45.0,3.9,36.558,81.24,32.658,79.46,0.387,0.387,~
30,БДИБР,Домлян,26.074,0.7,2.858,10.96,2.158,8.51,0.0,1.43,↓
31,БДИБР,Пясъчник,206.53,3.4,14.949,7.24,11.549,5.69,0.148,0.513,↓
32,БДИБР,Тополница,137.108,20.0,37.449,27.31,17.449,14.9,0.093,8.403,↓
33,БДИБР,Тракиец,114.0,24.0,65.562,57.51,41.562,46.18,0.012,0.926,↓
34,БДЗБР,Пчелина,54.2,34.2,53.85,99.35,19.65,98.25,2.708,2.708,᷆
35,БДДР,"",205.569,20.0,138.351,67.3,118.351,63.78,0.506,12.112,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,45.079,31.7,39.669,29.0,0.206,9.86,↓
38,БДИБР,Белмекен,144.036,3.81,114.14,79.24,110.33,78.68,,,↓
39,БДИБР,Чаира,5.5,1.369,2.79,50.73,1.421,34.4,,,↑
40,БДИБР,"",62.111,3.942,49.699,80.02,45.757,78.66,,,↓
41,БДИБР,"",23.98,3.3,15.903,66.32,12.603,60.94,,,↓
42,БДИБР,Беглика,1.554,0.242,0.978,62.93,0.736,56.1,0.009,0.009,~
43,БДИБР,Тошков,1.782,0.276,1.021,57.3,0.745,49.47,0.158,0.32,↓
44,БДИБР,Батак,310.298,19.95,219.75,70.82,199.8,68.81,3.251,10.813,↓
45,БДЗБР,Доспат,449.249,14.907,352.327,78.43,337.42,77.69,1.309,6.048,↓
46,БДИБР,"",110.708,31.2,83.141,75.1,51.941,65.33,7.093,8.284,↓
47,БДИБР,Въча,226.12,24.52,185.772,82.16,161.252,79.99,9.122,12.606,↓
48,БДИБР,Кричим,20.256,1.73,19.26,95.08,17.53,94.63,12.414,10.913,↑
49,БДИБР,Кърджали,497.236,107.176,317.805,63.91,210.629,54.0,2.676,13.869,↓
50,БДИБР,"",387.772,90.667,219.679,56.65,129.012,43.42,13.966,11.819,↑
51,БДИБР,"",156.702,59.526,67.32,42.96,7.794,8.02,13.298,10.668,↑
52,БДИБР,"",20.4,13.268,16.692,81.82,3.424,48.01,,,↓
