id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,527.863,80.56,440.663,77.57,16.443,19.559,↓
2,БДДР,Бели Искър,15.08,1.4,9.647,63.97,8.247,60.28,0.08,1.09,↓
3,БДДР,Среченска бара,15.5,1.0,15.4,99.35,14.4,99.31,0.752,0.521,↑
4,БДДР,Христо Смирненски,27.7,4.2,25.055,90.45,20.855,88.75,0.279,1.447,↓
5,БДДР,Йовковци,92.179,9.0,84.274,91.43,75.274,90.5,0.783,0.693,↑
6,БДЧР,Тича,311.8,40.0,166.031,53.25,126.031,46.37,5.521,1.163,↑
7,БДЧР,Камчия,233.55,76.0,200.456,85.83,124.456,78.99,15.636,2.523,↑
8,БДЧР,Ясна поляна,32.32,7.55,26.01,80.48,18.46,74.53,1.238,0.312,↑
9,БДИБР,Асеновец,28.2,2.0,19.4,68.79,17.4,66.41,2.222,0.37,↑
10,БДИБР,Боровица,27.3,4.6,27.23,99.74,22.63,99.69,8.496,8.38,↑
11,БДЗБР,Студена,25.2,2.4,21.646,85.9,19.246,84.41,1.786,2.644,↓
12,БДЗБР,Дяково,35.4,8.0,31.062,87.74,23.062,84.17,2.383,2.763,↓
13,БДЗБР,"",1.024,0.1,0.337,32.89,0.237,25.63,,,↑
14,БДЗБР,"",2.252,0.2,0.973,43.2,0.773,37.67,,,↓
15,БДДР,"",31.6,2.5,21.306,67.42,18.806,64.63,0.552,0.23,↑
16,БДДР,Панчарево,6.465,1.5,4.898,75.76,3.398,68.43,18.666,20.851,↓
17,БДДР,Ястребино,62.3,3.9,18.34,29.44,14.44,24.73,0.972,0.046,↑
18,БДДР,Кула,20.25,0.7,8.598,42.46,7.898,40.4,0.66,0.046,↑
19,БДДР,Рабиша,43.2,2.4,14.338,33.19,11.938,29.26,1.227,0.035,↑
20,БДДР,Огоста,506.0,67.0,288.25,56.97,221.25,50.4,16.667,3.356,↑
21,БДДР,Сопот,60.908,1.3,36.215,59.46,34.915,58.57,3.854,0.208,↑
22,БДДР,Горни Дъбник,130.0,3.0,55.353,42.58,52.353,41.22,1.076,0.359,↑
23,БДДР,Бели Лом,25.5,3.2,8.668,33.99,5.468,24.52,0.486,0.046,↑
24,БДЧР,Съединение,12.81,1.5,6.374,49.76,4.874,43.09,0.208,0.035,↑
25,БДЧР,Георги Трайков,330.0,21.0,134.889,40.88,113.889,36.86,5.088,1.153,↑
26,БДЧР,Порой,45.2,2.0,10.81,23.92,8.81,20.39,0.498,0.0,↑
27,БДЧР,Ахелой,12.67,0.8,5.111,40.34,4.311,36.32,0.799,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,221.8,55.45,191.8,51.84,26.38,1.75,↑
29,БДИБР,Малко Шарково,45.0,3.9,31.842,70.76,27.942,67.99,2.3,0.1,↑
30,БДИБР,Домлян,26.074,0.7,15.949,61.17,15.249,60.1,1.496,0.107,↑
31,БДИБР,Пясъчник,206.53,3.4,28.748,13.92,25.348,12.48,1.643,0.184,↑
32,БДИБР,Тополница,137.108,20.0,74.871,54.61,54.871,46.86,12.824,1.192,↑
33,БДИБР,Тракиец,114.0,24.0,75.62,66.33,51.62,57.36,1.505,0.116,↑
34,БДЗБР,Пчелина,54.2,34.2,54.35,100.28,20.15,100.75,5.139,5.139,᷆
35,БДДР,"",205.569,20.0,174.03,84.66,154.03,83.0,11.132,12.255,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,91.724,64.5,86.314,63.09,10.58,10.58,~
38,БДИБР,Белмекен,144.036,3.81,91.192,63.31,87.382,62.32,,,↓
39,БДИБР,Чаира,5.5,1.369,2.105,38.27,0.736,17.82,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,56.182,90.45,52.24,89.81,,,~
41,БДИБР,Широка поляна,23.98,3.3,23.859,99.5,20.559,99.41,,,↑
42,БДИБР,Беглика,1.554,0.242,1.057,68.02,0.815,62.12,1.282,1.189,↑
43,БДИБР,Тошков Чарк,1.782,0.276,1.042,58.47,0.766,50.86,1.557,1.314,↑
44,БДИБР,Батак,310.298,19.95,250.494,80.73,230.544,79.4,19.933,4.479,↑
45,БДЗБР,Доспат,449.249,14.907,434.706,96.76,419.799,96.65,9.909,12.459,↓
46,БДИБР,Цанков камък,110.708,31.2,103.732,93.7,72.532,91.23,46.261,43.363,↑
47,БДИБР,Въча,226.12,24.52,210.018,92.88,185.498,92.01,45.934,36.142,↑
48,БДИБР,Кричим,20.256,1.73,18.435,91.01,16.705,90.17,35.3,48.859,↓
49,БДИБР,Кърджали,497.236,107.176,493.246,99.2,386.07,98.98,,,6
50,БДИБР,Студен кладенец,387.772,90.667,383.333,98.86,292.666,98.51,,,4
51,БДИБР,Ивайловград,156.702,59.526,146.3,93.36,86.774,89.3,188.334,224.025,↓
52,БДИБР,Розов кладенец,20.4,13.268,18.564,91.0,5.296,74.26,,,↑
