id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,505.201,77.1,418.001,73.59,35.232,13.853,↑
2,БДДР,Бели Искър,15.08,1.4,5.83,38.66,4.43,32.38,7.27,3.93,↑
3,БДДР,Среченска бара,15.5,1.0,15.027,96.95,14.027,96.74,0.44,0.556,↓
4,БДДР,Христо Смирненски,27.7,4.2,25.548,92.23,21.348,90.84,0.234,1.988,↓
5,БДДР,Йовковци,92.179,9.0,91.949,99.75,82.949,99.72,1.411,4.739,↓
6,БДЧР,Тича,311.8,40.0,265.744,85.23,225.744,83.06,4.462,2.332,↑
7,БДЧР,Камчия,233.55,76.0,234.69,100.49,158.69,100.72,10.532,8.976,᷆
8,БДЧР,Ясна поляна,32.32,7.55,27.151,84.01,19.601,79.13,0.196,0.336,↓
9,БДИБР,Асеновец,28.2,2.0,22.648,80.31,20.648,78.81,1.25,0.486,↑
10,БДИБР,Боровица,27.3,4.6,27.27,99.89,22.67,99.87,0.33,0.33,~
11,БДЗБР,Студена,25.2,2.4,23.743,94.22,21.343,93.61,3.794,1.681,↑
12,БДЗБР,Дяково,35.4,8.0,27.009,76.3,19.009,69.38,2.452,1.738,↑
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.234,22.87,0.134,14.52,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,0.225,10.01,0.025,1.24,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,19.235,60.87,16.735,57.51,2.062,1.46,↑
16,БДДР,Панчарево,6.465,1.5,5.288,81.79,3.788,76.29,20.499,19.916,᷆
17,БДДР,Ястребино,62.3,3.9,45.237,72.61,41.337,70.78,1.586,1.586,~
18,БДДР,Кула,20.25,0.7,8.776,43.34,8.076,41.31,0.012,0.139,↓
19,БДДР,Рабиша,43.2,2.4,12.178,28.19,9.778,23.97,0.243,0.023,↑
20,БДДР,Огоста,506.0,67.0,240.925,47.61,173.925,39.62,14.294,6.366,↑
21,БДДР,Сопот,60.908,1.3,48.205,79.14,46.905,78.69,1.528,0.486,↑
22,БДДР,Горни Дъбник,130.0,3.0,58.35,44.88,55.35,43.58,1.25,1.968,↓
23,БДДР,Бели Лом,25.5,3.2,9.523,37.35,6.323,28.35,0.104,0.104,~
24,БДЧР,Съединение,12.81,1.5,8.66,67.6,7.16,63.31,0.104,0.104,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,194.622,58.98,173.622,56.19,10.791,1.751,↑
26,БДЧР,Порой,45.2,2.0,5.6,12.39,3.6,8.33,0.636,1.227,↓
27,БДЧР,Ахелой,12.35,0.8,3.026,24.5,2.226,19.27,0.116,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,261.042,65.26,231.042,62.44,11.821,1.59,↑
29,БДИБР,Малко Шарково,45.0,3.9,38.472,85.49,34.572,84.12,1.605,1.605,~
30,БДИБР,Домлян,26.074,0.7,19.217,73.7,18.517,72.97,3.77,0.103,↑
31,БДИБР,Пясъчник,206.53,3.4,48.872,23.66,45.472,22.39,2.941,0.256,↑
32,БДИБР,Тополница,137.108,20.0,124.457,90.77,104.457,89.2,14.572,11.47,↑
33,БДИБР,Тракиец,114.0,24.0,75.2,65.96,51.2,56.89,0.764,1.192,↓
34,БДЗБР,Пчелина,54.2,34.2,54.15,99.91,19.95,99.75,8.113,8.692,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,166.871,81.18,146.871,79.15,19.475,10.811,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,102.047,71.76,96.637,70.64,25.956,7.53,↑
38,БДИБР,Белмекен,144.036,3.81,59.212,41.11,55.402,39.51,,,↑
39,БДИБР,Чаира,5.5,1.369,3.524,64.07,2.155,52.16,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,44.168,71.11,40.226,69.15,,,↑
41,БДИБР,Широка поляна,23.98,3.3,10.027,41.81,6.727,32.53,,,↑
42,БДИБР,Беглика,1.554,0.242,0.826,53.18,0.584,44.54,0.891,1.268,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.482,83.18,1.206,80.1,1.2,0.908,↑
44,БДИБР,Батак,310.298,19.95,248.968,80.23,229.018,78.88,14.46,5.629,↑
45,БДЗБР,Доспат,449.249,14.907,364.306,81.09,349.399,80.44,6.872,2.132,↑
46,БДИБР,Цанков камък,110.708,31.2,79.14,71.49,47.94,60.3,20.134,19.849,↑
47,БДИБР,Въча,226.12,24.52,200.192,88.53,175.672,87.14,25.184,20.352,↑
48,БДИБР,Кричим,20.256,1.73,19.451,96.02,17.721,95.65,20.22,20.32,↓
49,БДИБР,Кърджали,497.236,107.176,360.238,72.45,253.062,64.88,30.838,1.625,↑
50,БДИБР,Студен кладенец,387.772,90.667,282.417,72.83,191.75,64.54,16.949,3.243,↑
51,БДИБР,Ивайловград,156.702,59.526,114.02,72.76,54.494,56.08,10.238,0.729,↑
52,БДИБР,Розов кладенец,20.4,13.268,18.813,92.22,5.545,77.75,,,↓
