id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,556.732,84.96,469.532,82.66,0.43,19.577,↓
2,БДДР,Бели Искър,15.08,1.4,12.345,81.86,10.945,80.01,0.504,0.415,↑
3,БДДР,Среченска бара,15.5,1.0,15.48,99.87,14.48,99.86,0.718,0.602,↑
4,БДДР,Христо Смирненски,27.7,4.2,24.526,88.54,20.326,86.49,0.173,0.757,↓
5,БДДР,Йовковци,92.179,9.0,90.693,98.39,81.693,98.21,0.068,0.725,↓
6,БДЧР,Тича,311.8,40.0,250.065,80.2,210.065,77.29,0.552,2.982,↓
7,БДЧР,Камчия,233.55,76.0,230.225,98.58,154.225,97.89,0.451,2.894,↓
8,БДЧР,Ясна поляна,32.32,7.55,27.369,84.68,19.819,80.01,0.012,0.613,↓
9,БДИБР,Асеновец,28.2,2.0,27.247,96.62,25.247,96.36,0.093,0.903,↓
10,БДИБР,Боровица,27.3,4.6,26.275,96.25,21.675,95.48,0.38,0.38,~
11,БДЗБР,Студена,25.2,2.4,20.437,81.1,18.037,79.11,0.333,0.65,↓
12,БДЗБР,Дяково,35.4,8.0,33.619,94.97,25.619,93.5,0.328,0.108,↑
13,БДЗБР,"",1.024,0.1,0.848,82.76,0.748,80.9,,,↓
14,БДЗБР,"",2.252,0.2,2.125,94.35,1.925,93.8,,,~
15,БДДР,"",31.6,2.5,17.681,55.95,15.181,52.17,0.22,0.37,↓
16,БДДР,Панчарево,6.465,1.5,5.151,79.68,3.651,73.54,21.626,21.46,᷆
17,БДДР,Ястребино,62.3,3.9,46.936,75.34,43.036,73.69,0.671,1.62,↓
18,БДДР,Кула,20.25,0.7,10.085,49.8,9.385,48.01,0.012,0.104,↓
19,БДДР,Рабиша,43.2,2.4,14.824,34.31,12.424,30.45,0.012,0.752,↓
20,БДДР,Огоста,506.0,67.0,284.16,56.16,217.16,49.47,9.155,12.801,↓
21,БДДР,Сопот,60.908,1.3,49.25,80.86,47.95,80.44,1.863,3.021,↓
22,БДДР,Горни Дъбник,130.0,3.0,55.603,42.77,52.603,41.42,0.37,1.817,↓
23,БДДР,Бели Лом,25.5,3.2,9.732,38.16,6.532,29.29,0.127,0.127,~
24,БДЧР,Съединение,12.81,1.5,8.392,65.51,6.892,60.94,0.174,0.382,↓
25,БДЧР,"",330.0,21.0,194.297,58.88,173.297,56.08,0.002,3.011,↓
26,БДЧР,Порой,45.2,2.0,6.27,13.87,4.27,9.88,0.023,0.024,↓
27,БДЧР,Ахелой,12.35,0.8,6.077,49.21,5.277,45.69,0.023,0.81,↓
28,БДИБР,Жребчево,400.0,30.0,313.3,78.33,283.3,76.57,2.302,19.663,↓
29,БДИБР,Малко Шарково,45.0,3.9,39.98,88.84,36.08,87.79,0.037,0.443,↓
30,БДИБР,Домлян,26.074,0.7,17.527,67.22,16.827,66.32,0.0,4.431,↓
31,БДИБР,Пясъчник,206.53,3.4,40.49,19.6,37.09,18.26,0.0,7.5,↓
32,БДИБР,Тополница,137.108,20.0,97.46,71.08,77.46,66.14,2.072,14.028,↓
33,БДИБР,Тракиец,114.0,24.0,71.175,62.43,47.175,52.42,0.035,1.134,↓
34,БДЗБР,Пчелина,54.2,34.2,54.0,99.63,19.8,99.0,5.185,5.185,᷆
35,БДДР,"",205.569,20.0,179.552,87.34,159.552,85.98,1.387,12.964,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,98.795,69.47,93.385,68.26,1.426,13.13,↓
38,БДИБР,Белмекен,144.036,3.81,134.616,93.46,130.806,93.28,,,↓
39,БДИБР,Чаира,5.5,1.369,3.082,56.04,1.713,41.47,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,53.763,86.56,49.821,85.65,,,↑
41,БДИБР,Широка поляна,23.98,3.3,19.742,82.33,16.442,79.51,,,↓
42,БДИБР,Беглика,1.554,0.242,0.936,60.23,0.694,52.9,0.233,0.488,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.248,70.03,0.972,64.54,0.231,0.324,↓
44,БДИБР,Батак,310.298,19.95,268.824,86.63,248.874,85.72,4.1,14.324,↓
45,БДЗБР,Доспат,449.249,14.907,377.718,84.08,362.811,83.53,0.935,6.86,↓
46,БДИБР,Цанков камък,110.708,31.2,80.555,72.76,49.355,62.07,7.723,7.144,↑
47,БДИБР,Въча,226.12,24.52,195.309,86.37,170.789,84.72,9.839,10.86,↓
48,БДИБР,Кричим,20.256,1.73,19.511,96.32,17.781,95.98,10.76,8.657,↑
49,БДИБР,Кърджали,497.236,107.176,350.219,70.43,243.043,62.31,5.176,2.158,↑
50,БДИБР,Студен кладенец,387.772,90.667,228.605,58.95,137.938,46.43,0.568,9.563,↓
51,БДИБР,Ивайловград,156.702,59.526,106.366,67.88,46.84,48.2,5.54,36.662,↓
52,БДИБР,Розов кладенец,20.4,13.268,18.816,92.24,5.548,77.79,,,~
