id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,503.486,76.84,416.286,73.28,1.819,12.506,↓
2,БДДР,Бели Искър,15.08,1.4,10.515,69.73,9.115,66.63,0.275,0.686,↓
3,БДДР,Среченска бара,15.5,1.0,15.19,98.0,14.19,97.86,0.266,0.498,↓
4,БДДР,Христо Смирненски,27.7,4.2,20.316,73.34,16.116,68.58,0.571,0.321,↑
5,БДДР,Йовковци,92.179,9.0,77.121,83.66,68.121,81.9,0.111,0.696,↓
6,БДЧР,Тича,311.8,40.0,216.343,69.39,176.343,64.88,0.164,1.59,↓
7,БДЧР,Камчия,233.55,76.0,179.108,76.69,103.108,65.44,0.475,2.256,↓
8,БДЧР,Ясна поляна,32.32,7.55,17.85,55.23,10.3,41.58,0.104,0.243,↓
9,БДИБР,Асеновец,28.2,2.0,12.773,45.29,10.773,41.12,0.127,0.671,↓
10,БДИБР,Боровица,27.3,4.6,26.49,97.03,21.89,96.43,0.434,0.26,↑
11,БДЗБР,Студена,25.2,2.4,23.545,93.43,21.145,92.74,0.613,0.787,↓
12,БДЗБР,Дяково,35.4,8.0,28.467,80.41,20.467,74.7,0.012,0.65,↓
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.31,30.22,0.21,22.67,,,↑
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,1.36,60.41,1.16,56.55,,,д
15,БДДР,Огняново - за рез.водоснабдяване **,31.6,2.5,17.048,53.95,14.548,49.99,0.185,0.335,↓
16,БДДР,Панчарево,6.465,1.5,5.13,79.34,3.63,73.1,11.805,10.009,᷆
17,БДДР,Ястребино,62.3,3.9,33.842,54.32,29.942,51.27,0.069,0.069,~
18,БДДР,Кула,20.25,0.7,7.453,36.8,6.753,34.54,0.035,0.035,~
19,БДДР,Рабиша,43.2,2.4,12.498,28.93,10.098,24.75,0.0,0.0,~
20,БДДР,Огоста,506.0,67.0,242.15,47.86,175.15,39.9,4.398,4.398,~
21,БДДР,Сопот,60.908,1.3,28.098,46.13,26.798,44.96,0.278,0.278,~
22,БДДР,Горни Дъбник,130.0,3.0,52.722,40.56,49.722,39.15,1.007,0.347,↑
23,БДДР,Бели Лом,25.5,3.2,9.02,35.37,5.82,26.1,0.162,0.046,↑
24,БДЧР,Съединение,12.81,1.5,8.214,64.12,6.714,59.36,0.069,0.069,~
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,169.0,51.21,148.0,47.9,0.008,1.512,↓
26,БДЧР,Порой,45.2,2.0,5.64,12.48,3.64,8.43,0.058,0.0,↑
27,БДЧР,Ахелой,12.35,0.8,3.189,25.82,2.389,20.68,0.023,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,176.188,44.05,146.188,39.51,4.684,1.629,↑
29,БДИБР,Малко Шарково,45.0,3.9,33.292,73.98,29.392,71.51,0.126,0.126,~
30,БДИБР,Домлян,26.074,0.7,12.016,46.08,11.316,44.6,0.557,0.085,↑
31,БДИБР,Пясъчник,206.53,3.4,39.032,18.9,35.632,17.54,1.47,0.22,↑
32,БДИБР,Тополница,137.108,20.0,54.484,39.74,34.484,29.45,6.065,0.556,↑
33,БДИБР,Тракиец,114.0,24.0,69.685,61.13,45.685,50.76,0.752,0.116,↑
34,БДЗБР,Пчелина,54.2,34.2,54.0,99.63,19.8,99.0,4.606,5.185,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,115.089,55.99,95.089,51.24,4.612,1.126,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,42.632,29.98,37.222,27.21,3.644,0.744,↑
38,БДИБР,Белмекен,144.036,3.81,90.716,62.98,86.906,61.98,,,↓
39,БДИБР,Чаира,5.5,1.369,1.245,22.64,0.0,0.0,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,38.764,62.41,34.822,59.86,,,↓
41,БДИБР,Широка поляна,23.98,3.3,7.256,30.26,3.956,19.13,,,↓
42,БДИБР,Беглика,1.554,0.242,1.037,66.73,0.795,60.59,0.114,0.0,↑
43,БДИБР,Тошков Чарк,1.782,0.276,0.87,48.82,0.594,39.44,0.422,0.75,↓
44,БДИБР,Батак,310.298,19.95,179.409,57.82,159.459,54.92,11.2,11.2,~
45,БДЗБР,Доспат,449.249,14.907,335.418,74.66,320.511,73.79,5.302,17.909,↓
46,БДИБР,Цанков камък,110.708,31.2,74.774,67.54,43.574,54.8,26.365,28.828,↓
47,БДИБР,Въча,226.12,24.52,195.529,86.47,171.009,84.83,30.954,48.313,↓
48,БДИБР,Кричим,20.256,1.73,19.988,98.67,18.258,98.55,47.33,44.022,↑
49,БДИБР,Кърджали,497.236,107.176,344.771,69.34,237.595,60.91,17.243,14.256,↑
50,БДИБР,Студен кладенец,387.772,90.667,305.037,78.66,214.37,72.15,43.658,95.564,↓
51,БДИБР,Ивайловград,156.702,59.526,123.151,78.59,63.625,65.47,93.578,147.192,↓
52,БДИБР,Розов кладенец,20.4,13.268,17.664,86.59,4.396,61.64,,,~
