id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,530.558,80.97,443.358,78.05,26.941,14.456,↑
2,БДДР,Бели Искър,15.08,1.4,4.291,28.46,2.891,21.14,0.682,1.061,↓
3,БДДР,Среченска бара,15.5,1.0,15.5,100.0,14.5,100.0,0.556,0.556,~
4,БДДР,Христо Смирненски,27.7,4.2,24.917,89.95,20.717,88.16,1.451,1.451,~
5,БДДР,Йовковци,92.179,9.0,92.466,100.31,83.466,100.35,2.316,2.983,᷆
6,БДЧР,Тича,311.8,40.0,227.326,72.91,187.326,68.92,8.903,1.311,↑
7,БДЧР,Камчия,233.55,76.0,234.88,100.57,158.88,100.84,10.4,9.582,᷆
8,БДЧР,Ясна поляна,32.32,7.55,31.175,96.46,23.625,95.38,1.204,0.347,↑
9,БДИБР,Асеновец,28.2,2.0,28.173,99.9,26.173,99.9,2.5,2.38,᷆
10,БДИБР,Боровица,27.3,4.6,27.27,99.89,22.67,99.87,8.438,8.38,↑
11,БДЗБР,Студена,25.2,2.4,20.97,83.21,18.57,81.45,5.545,5.709,᷆
12,БДЗБР,Дяково,35.4,8.0,30.174,85.24,22.174,80.93,1.291,1.672,↓
13,БДЗБР,рез.водоснабдяван,1.024,0.1,0.184,18.0,0.084,9.13,,,↓
14,БДЗБР,рез.водоснабдяван,2.252,0.2,0.314,13.93,0.114,5.55,,,~
15,БДДР,рез.водоснабдяван,31.6,2.5,21.37,67.63,18.87,64.85,3.255,2.04,↑
16,БДДР,Панчарево,6.465,1.5,4.872,75.36,3.372,67.92,21.648,22.833,᷆
17,БДДР,Ястребино,62.3,3.9,37.532,60.24,33.632,57.59,2.639,0.104,↑
18,БДДР,Кула,20.25,0.7,10.173,50.24,9.473,48.46,0.648,0.035,↑
19,БДДР,Рабиша,43.2,2.4,16.7,38.66,14.3,35.05,0.035,0.035,~
20,БДДР,Огоста,506.0,67.0,313.585,61.97,246.585,56.17,16.47,12.13,↑
21,БДДР,Сопот,60.908,1.3,48.9,80.29,47.6,79.86,7.836,8.414,↓
22,БДДР,Горни Дъбник,130.0,3.0,58.474,44.98,55.474,43.68,1.678,1.678,~
23,БДДР,Бели Лом,25.5,3.2,9.979,39.13,6.779,30.4,0.301,0.081,↑
24,БДЧР,Съединение,12.81,1.5,8.0,62.45,6.5,57.47,0.208,0.417,↓
25,БДЧР,"",330.0,21.0,179.665,54.44,158.665,51.35,10.713,1.686,↑
26,БДЧР,Порой,45.2,2.0,7.21,15.95,5.21,12.06,0.232,1.331,↓
27,БДЧР,Ахелой,12.35,0.8,7.07,57.25,6.27,54.29,0.104,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,331.06,82.77,301.06,81.37,23.278,38.0,↓
29,БДИБР,Малко Шарково,45.0,3.9,38.249,85.0,34.349,83.57,1.204,0.093,↑
30,БДИБР,Домлян,26.074,0.7,25.355,97.24,24.655,97.17,0.329,0.329,~
31,БДИБР,Пясъчник,206.53,3.4,42.866,20.76,39.466,19.43,4.613,0.238,↑
32,БДИБР,Тополница,137.108,20.0,124.564,90.85,104.564,89.29,37.523,50.556,↓
33,БДИБР,Тракиец,114.0,24.0,75.68,66.39,51.68,57.42,1.852,2.546,↓
34,БДЗБР,Пчелина,54.2,34.2,54.65,100.83,20.45,102.25,27.465,28.044,᷆
35,БДДР,"",205.569,20.0,199.29,96.95,179.29,96.62,16.44,20.261,↓
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,115.952,81.53,110.542,80.8,14.538,17.05,↓
38,БДИБР,Белмекен,144.036,3.81,54.335,37.72,50.525,36.03,,,↓
39,БДИБР,Чаира,5.5,1.369,2.654,48.25,1.285,31.11,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,49.186,79.19,45.244,77.78,,,↑
41,БДИБР,Широка поляна,23.98,3.3,16.95,70.68,13.65,66.01,,,↑
42,БДИБР,Беглика,1.554,0.242,0.948,61.0,0.706,53.81,0.838,0.953,↓
43,БДИБР,Тошков Чарк,1.782,0.276,1.227,68.86,0.951,63.15,1.54,0.753,↑
44,БДИБР,Батак,310.298,19.95,290.389,93.58,270.439,93.14,15.833,15.833,~
45,БДЗБР,Доспат,449.249,14.907,414.166,92.19,399.259,91.92,19.601,9.778,↑
46,БДИБР,Цанков камък,110.708,31.2,83.501,75.42,52.301,65.78,40.616,27.846,↑
47,БДИБР,Въча,226.12,24.52,190.944,84.44,166.424,82.55,33.43,33.43,~
48,БДИБР,Кричим,20.256,1.73,19.684,97.18,17.954,96.91,33.36,29.452,↑
49,БДИБР,Кърджали,497.236,107.176,359.041,72.21,251.865,64.57,52.544,24.929,↑
50,БДИБР,Студен кладенец,387.772,90.667,286.711,73.94,196.044,65.98,58.885,39.493,↑
51,БДИБР,Ивайловград,156.702,59.526,98.008,62.54,38.482,39.6,60.794,35.993,↑
52,БДИБР,Розов кладенец,20.4,13.268,19.14,93.82,5.872,82.33,,,↑
