id,basin_directorate,name,total_volume,sanitary_volume,current_volume,current_volume_percent,current_useful_volume,current_useful_volume_percent,ingress,egress,trend
1,БДДР,Искър,655.252,87.2,523.564,79.9,436.364,76.82,26.46,29.565,↓
2,БДДР,Бели Искър,15.08,1.4,4.577,30.35,3.177,23.22,0.93,1.257,↓
3,БДДР,Среченска бара,15.5,1.0,15.48,99.87,14.48,99.86,0.544,0.544,~
4,БДДР,Христо Смирненски,27.7,4.2,25.371,91.59,21.171,90.09,2.303,2.449,↓
5,БДДР,Йовковци,92.179,9.0,92.466,100.31,83.466,100.35,5.001,3.003,᷆
6,БДЧР,Тича,311.8,40.0,221.668,71.09,181.668,66.84,14.514,1.227,↑
7,БДЧР,Камчия,233.55,76.0,235.165,100.69,159.165,101.03,13.622,13.618,᷆
8,БДЧР,Ясна поляна,32.32,7.55,30.851,95.45,23.301,94.07,1.192,0.347,↑
9,БДИБР,Асеновец,28.2,2.0,27.141,96.24,25.141,95.96,2.951,0.741,↑
10,БДИБР,Боровица,27.3,4.6,27.23,99.74,22.63,99.69,8.611,8.38,↑
11,БДЗБР,Студена,25.2,2.4,21.069,83.61,18.669,81.88,8.536,8.372,᷆
12,БДЗБР,Дяково,35.4,8.0,30.338,85.7,22.338,81.53,1.669,1.669,~
13,БДЗБР,Калин - за рез.водоснабдяване,1.024,0.1,0.227,22.18,0.127,13.76,,,~
14,БДЗБР,Карагьол - за рез.водоснабдяване,2.252,0.2,0.295,13.1,0.095,4.63,,,д
15,БДДР,Огняново - за рез.водоснабдяване,31.6,2.5,20.985,66.41,18.485,63.52,4.13,5.75,↓
16,БДДР,Панчарево,6.465,1.5,5.072,78.45,3.572,71.94,37.125,35.403,᷆
17,БДДР,Ястребино,62.3,3.9,35.856,57.55,31.956,54.72,1.343,0.081,↑
18,БДДР,Кула,20.25,0.7,9.963,49.2,9.263,47.38,0.035,0.035,~
19,БДДР,Рабиша,43.2,2.4,16.2,37.5,13.8,33.82,1.192,0.035,↑
20,БДДР,Огоста,506.0,67.0,312.64,61.79,245.64,55.95,15.509,15.509,~
21,БДДР,Сопот,60.908,1.3,49.35,81.02,48.05,80.61,7.454,6.296,↑
22,БДДР,Горни Дъбник,130.0,3.0,58.537,45.03,55.537,43.73,1.863,1.863,~
23,БДДР,Бели Лом,25.5,3.2,9.865,38.69,6.665,29.89,0.289,0.069,↑
24,БДЧР,Съединение,12.81,1.5,8.125,63.43,6.625,58.58,0.185,0.394,↓
25,БДЧР,Георги Трайков (Цонево),330.0,21.0,172.512,52.28,151.512,49.03,11.777,2.738,↑
26,БДЧР,Порой,45.2,2.0,8.08,17.88,6.08,14.07,0.52,1.852,↓
27,БДЧР,Ахелой,12.35,0.8,6.897,55.85,6.097,52.79,0.289,0.0,↑
28,БДИБР,Жребчево,400.0,30.0,330.848,82.71,300.848,81.31,34.643,1.68,↑
29,БДИБР,Малко Шарково,45.0,3.9,37.866,84.15,33.966,82.64,0.463,0.093,↑
30,БДИБР,Домлян,26.074,0.7,25.355,97.24,24.655,97.17,1.805,1.626,↑
31,БДИБР,Пясъчник,206.53,3.4,40.544,19.63,37.144,18.29,6.474,0.224,↑
32,БДИБР,Тополница,137.108,20.0,125.261,91.36,105.261,89.88,20.602,17.5,↑
33,БДИБР,Тракиец,114.0,24.0,75.44,66.18,51.44,57.16,1.435,2.13,↓
34,БДЗБР,Пчелина,54.2,34.2,54.7,100.92,20.5,102.5,32.569,30.255,᷆
35,БДДР,Александър Стамболийски,205.569,20.0,201.06,97.81,181.06,97.57,26.689,25.404,↑
36,БДДР,Кокаляне,,,,,,,,,
37,БДИБР,Копринка,142.214,5.41,116.714,82.07,111.304,81.36,22.716,17.67,↑
38,БДИБР,Белмекен,144.036,3.81,58.456,40.58,54.646,38.97,,,↓
39,БДИБР,Чаира,5.5,1.369,3.283,59.69,1.914,46.33,,,↑
40,БДИБР,Голям Беглик,62.111,3.942,48.135,77.5,44.193,75.97,,,~
41,БДИБР,Широка поляна,23.98,3.3,16.409,68.43,13.109,63.39,,,↑
42,БДИБР,Беглика,1.554,0.242,0.941,60.55,0.699,53.28,0.729,0.555,↑
43,БДИБР,Тошков Чарк,1.782,0.276,0.776,43.55,0.5,33.2,1.066,0.719,↑
44,БДИБР,Батак,310.298,19.95,287.338,92.6,267.388,92.09,20.826,6.701,↑
45,БДЗБР,Доспат,449.249,14.907,408.438,90.92,393.531,90.6,10.881,5.97,↑
46,БДИБР,Цанков камък,110.708,31.2,85.117,76.88,53.917,67.81,30.78,26.832,↑
47,БДИБР,Въча,226.12,24.52,185.944,82.23,161.424,80.07,32.768,26.795,↑
48,БДИБР,Кричим,20.256,1.73,19.702,97.26,17.972,97.01,26.373,28.578,↓
49,БДИБР,Кърджали,497.236,107.176,369.778,74.37,262.602,67.32,,,8
50,БДИБР,Студен кладенец,387.772,90.667,286.711,73.94,196.044,65.98,,,1
51,БДИБР,Ивайловград,156.702,59.526,109.85,70.1,50.324,51.79,151.056,157.669,↓
52,БДИБР,Розов кладенец,20.4,13.268,18.816,92.24,5.548,77.79,,,↑
